Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5,Pokemon Red/Pokemon Blue,GB,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37
47,Super Mario 64,N64,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89
64,Mario Kart 64,N64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87
117,Crash Bandicoot,PS,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
153,Tekken 2,PS,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
195,Microsoft Flight Simulator,PC,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
202,Resident Evil,PS,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05
230,Tomb Raider,PS,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
294,Namco Museum Vol.3,PS,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
326,Resident Evil Director's Cut,PS,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
485,Wave Race 64,N64,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94
512,Command & Conquer: Red Alert,PC,Strategy,Virgin Interactive,1.37,1.34,0,0.14,2.85
533,Mortal Kombat Trilogy,PS,Fighting,GT Interactive,1.98,0.7,0,0.11,2.79
575,Star Wars: Shadows of the Empire,N64,Action,Nintendo,2,0.5,0.12,0.03,2.65
632,Twisted Metal 2,PS,Racing,Sony Computer Entertainment,2.12,0.25,0,0.07,2.44
647,Tetris Plus,PS,Puzzle,JVC,2.1,0.24,0,0.07,2.4
674,Donkey Kong Land II,GB,Platform,Nintendo,1.39,0.48,0.4,0.08,2.35
764,Super Mario RPG: Legend of the Seven Stars,SNES,Role-Playing,Nintendo,0.66,0,1.45,0.03,2.14
902,PaRappa The Rapper,PS,Misc,Sony Computer Entertainment,0.26,0.16,1.46,0.03,1.92
948,Jet Moto,PS,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
1022,Cruis'n USA,N64,Racing,Nintendo,1.69,0.04,0,0.01,1.74
1161,Diablo,PC,Role-Playing,Activision,0.01,1.58,0,0,1.59
1163,Soul Edge,PS,Fighting,Sony Computer Entertainment,0.61,0.41,0.46,0.1,1.59
1218,Die Hard Trilogy,PS,Shooter,Fox Interactive,0.85,0.58,0,0.1,1.54
1234,NASCAR 98,PS,Racing,Electronic Arts,1.43,0.05,0,0.04,1.52
1325,Tamagotchi,GB,Simulation,Namco Bandai Games,0,0,1.44,0.01,1.45
1338,Kirby Super Star,SNES,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44
1384,2Xtreme,PS,Sports,Sony Computer Entertainment,1.15,0.2,0,0.05,1.4
1430,Dragon Quest III: Soshite Densetsu e...,SNES,Role-Playing,Enix Corporation,0,0,1.36,0,1.36
1497,Madden NFL 97,PS,Sports,Electronic Arts,0.73,0.5,0,0.09,1.32
1501,TNN Motor Sports Hardcore 4x4,PS,Racing,ASC Games,0.73,0.5,0,0.09,1.31
1591,Reel Fishing,PS,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1647,SimCity 2000,PS,Simulation,Maxis,0.68,0.46,0,0.08,1.22
1720,Soviet Strike,PS,Simulation,Electronic Arts,0.65,0.44,0,0.08,1.17
1734,Rage Racer,PS,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17
1737,Destruction Derby 2,PS,Racing,Psygnosis,0.65,0.44,0,0.08,1.17
1821,Pilotwings 64,N64,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12
1974,Arc the Lad II,PS,Role-Playing,Sony Computer Entertainment,0,0,0.92,0.13,1.05
1976,Derby Stallion 96,SNES,Sports,ASCII Entertainment,0,0,1.04,0.01,1.05
1998,Mega Man X4,PS,Action,Virgin Interactive,0.45,0.3,0.22,0.07,1.04
2024,Tomb Raider,PC,Action,Eidos Interactive,0.96,0.07,0,0,1.03
2073,NBA Live 97,PS,Sports,Electronic Arts,0.55,0.38,0,0.07,1
2159,Mortal Kombat Trilogy,N64,Fighting,GT Interactive,0.72,0.22,0,0.02,0.96
2183,Wild ARMs,PS,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95
2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PS,Misc,GT Interactive,0.52,0.36,0,0.06,0.94
2258,Space Jam,PS,Sports,Acclaim Entertainment,0.51,0.35,0,0.06,0.92
2271,Tobal No.1,PS,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,SNES,Racing,ASCII Entertainment,0,0,0.9,0,0.9
2356,Mega Man 8 Anniversary Collector's Edition,PS,Platform,Capcom,0.44,0.3,0.09,0.06,0.88
2368,Star Wars: Rebel Assault II - The Hidden Empire,PS,Shooter,CTO SpA,0.49,0.33,0,0.06,0.88
2391,NFL GameDay '97,PS,Sports,Sony Computer Entertainment,0.48,0.33,0,0.06,0.87
2437,Street Fighter Alpha 2,PS,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
2504,Casper,PS,Adventure,Interplay,0.46,0.31,0,0.05,0.83
2516,Killer Instinct Gold,N64,Fighting,Nintendo,0.61,0.19,0,0.01,0.82
2663,Andretti Racing,PS,Racing,Electronic Arts,0.43,0.29,0,0.05,0.77
2689,Formula 1,PS,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
