Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
232,The Legend of Zelda: A Link to the Past,SNES,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
255,Sonic the Hedgehog,GEN,Platform,Sega,3.03,0.91,0.26,0.13,4.34
857,SimCity,SNES,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
985,Final Fantasy II,SNES,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
989,Metroid II: Return of Samus,GB,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76
1010,Yoshi,NES,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75
1110,Super Scope 6,SNES,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65
1396,Teenage Mutant Ninja Turtles III: The Manhattan Project,NES,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
1718,Super Ghouls 'n Ghosts,SNES,Platform,Capcom,0.5,0.14,0.52,0.02,1.18
1796,Super R.C. Pro-Am,GB,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
2063,NES Open Tournament Golf,NES,Sports,Nintendo,0.41,0.1,0.47,0.02,1
2235,Mega Man 4,NES,Platform,Capcom,0.51,0.09,0.32,0.01,0.93
2729,Final Fantasy Legend III,GB,Role-Playing,SquareSoft,0,0,0.76,0,0.76
2800,Yoshi,GB,Puzzle,Nintendo,0,0,0.73,0,0.73
3206,Super Castlevania IV,SNES,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
4099,The Legend of the Mystical Ninja,SNES,Adventure,Konami Digital Entertainment,0,0,0.48,0,0.48
4453,Bomberman II,NES,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44
4585,Super Wagyan Land,SNES,Action,Namco Bandai Games,0,0,0.42,0,0.42
4946,Super Fire ProWrestling,SNES,Fighting,Human Entertainment,0,0,0.39,0,0.39
4983,Super Soccer,SNES,Sports,Nintendo,0,0,0.38,0,0.38
5035,Final Fantasy Adventure,GB,Role-Playing,SquareSoft,0,0,0.38,0,0.38
5519,Battle Dodge Ball,SNES,Sports,Banpresto,0,0,0.33,0,0.33
5543,Kidou Senshi Gundam F91: Formula Senki 0122,SNES,Strategy,Namco Bandai Games,0,0,0.33,0,0.33
5653,Tetris 2 + Bombliss,NES,Puzzle,BPS,0,0,0.32,0,0.32
6055,SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,Role-Playing,Angel Studios,0,0,0.29,0,0.29
6157,Mega Man: Dr. Wily's Revenge,GB,Platform,Nintendo,0,0,0.28,0,0.28
6163,Famista '92,NES,Sports,Namco Bandai Games,0,0,0.28,0,0.28
6166,Mega Man II,GB,Platform,Nintendo,0,0,0.28,0,0.28
6167,Lord of Darkness,SNES,Action,Tecmo Koei,0,0,0.28,0,0.28
6625,Romance of the Three Kingdoms II,SNES,Strategy,Tecmo Koei,0,0,0.25,0,0.25
7096,Super R-Type,SNES,Shooter,Nintendo,0,0,0.23,0,0.23
7690,Super Baseball Simulator 1.000,SNES,Sports,Culture Brain,0,0,0.2,0,0.2
8039,GameBoy Wars,GB,Strategy,Nintendo,0,0,0.18,0,0.18
8087,Battle Commander: Hachibushu Shura no Heihou,SNES,Strategy,Banpresto,0,0,0.18,0,0.18
8577,SimEarth: The Living Planet,SNES,Simulation,Imagineer,0,0,0.16,0,0.16
8836,World League Soccer,SNES,Sports,Imagineer,0,0,0.15,0,0.15
9960,UN Squadron,SNES,Shooter,Capcom,0,0,0.12,0,0.12
11332,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,SNES,Misc,Epoch,0,0,0.08,0,0.08
11982,John Madden Football,SNES,Sports,Imagineer,0,0,0.07,0,0.07
12672,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,Action,Konami Digital Entertainment,0,0,0.06,0,0.06
13020,Lagoon,SNES,Role-Playing,Kemco,0,0,0.05,0,0.05
