Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13459,Danny Phantom: Urban Jungle,DS,2006,THQ,0.04,0,0,0,0.04
13477,World Trigger: Borderless Mission,PSV,2015,Namco Bandai Games,0,0,0.04,0,0.04
13480,Assault Rigs,PS,1996,Electronic Arts Victor,0.02,0.02,0,0,0.04
13483,Yes! PreCure 5,DS,2007,Namco Bandai Games,0,0,0.04,0,0.04
13485,Tom Clancy's HAWX,PC,2009,Ubisoft,0,0.03,0,0.01,0.04
13490,"Roswell Conspiracies: Aliens, Myths & Legends",PS,2001,Red Storm Entertainment,0.02,0.02,0,0,0.04
13492,Dead Island Definitive Collection,XOne,2016,Deep Silver,0.02,0.02,0,0,0.04
13497,Candace Kane's Candy Factory,DS,2008,Destineer,0.04,0,0,0,0.04
13505,Heatseeker,PSP,2007,Codemasters,0.04,0,0,0,0.04
13515,Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,DS,2009,Namco Bandai Games,0,0,0.04,0,0.04
13517,Coraline,DS,2009,D3Publisher,0.04,0,0,0,0.04
13520,Dead Head Fred,PSP,2007,D3Publisher,0.04,0,0,0,0.04
13522,Hyperdimension Neptunia mk2,PSV,2014,Compile Heart,0,0,0.04,0,0.04
13523,Disney's Meet the Robinsons,GC,2007,Disney Interactive Studios,0.03,0.01,0,0,0.04
13530,Spy Fiction,PS2,2003,Sega,0.02,0.02,0,0.01,0.04
13533,Resident Evil Director's Cut,PS3,2006,Capcom,0,0,0.04,0,0.04
13541,King Arthur,GC,2004,Konami Digital Entertainment,0.03,0.01,0,0,0.04
13542,Chicken Shoot,GBA,2005,Zoo Digital Publishing,0.03,0.01,0,0,0.04
13553,Jewel Quest 5: The Sleepless Star,PC,2011,Astragon,0.01,0.02,0,0.01,0.04
13556,Yowamushi Pedal,3DS,2015,Namco Bandai Games,0,0,0.04,0,0.04
13559,San-X Land: Theme Park de Asobou!,DS,2006,MTO,0,0,0.04,0,0.04
13566,Naruto Shippuden: Dairansen! Kage Bunshin Emaki,DS,2008,Takara Tomy,0,0,0.04,0,0.04
13572,The Smurfs,PS,1998,Infogrames,0.02,0.02,0,0,0.04
13577,Red Ninja: End of Honor,PS2,2005,Vivendi Games,0.02,0.02,0,0.01,0.04
13585,Naruto Shippuuden: Shinobi Retsuden III,DS,2009,Takara Tomy,0,0,0.04,0,0.04
13591,Barnyard,Wii,2006,THQ,0.04,0,0,0,0.04
13592,SPRay,Wii,2008,Tecmo Koei,0.04,0,0,0,0.04
13593,No Rules: Get Phat,GBA,2001,TDK Mediactive,0.03,0.01,0,0,0.04
13595,Zombi Daisuki,DS,2011,ChunSoft,0,0,0.04,0,0.04
13597,LEGO Indiana Jones: The Original Adventures,PC,2008,LucasArts,0.02,0.02,0,0.01,0.04
13600,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,3DS,2014,FuRyu,0,0,0.04,0,0.04
13602,The Invincible Iron Man,GBA,2002,Activision,0.03,0.01,0,0,0.04
13604,Refrain no Chika Meikyuu to Majo no Ryodan,PSV,2016,Nippon Ichi Software,0,0,0.04,0,0.04
13606,Maken Shao: Demon Sword,PS2,2001,Midas Interactive Entertainment,0,0,0.04,0,0.04
13607,Playmobil Top Agents,DS,2010,JoWood Productions,0,0.04,0,0,0.04
13622,Kamen Rider: Battride War Genesis,PS3,2016,Namco Bandai Games,0,0,0.04,0,0.04
13629,Pocket Pool,PSP,2007,Conspiracy Entertainment,0.04,0,0,0,0.04
13634,The Cube,Wii,2012,Funbox Media,0,0.04,0,0,0.04
13640,Devil May Cry 4,PC,2008,Capcom,0.01,0.02,0,0.01,0.04
13647,Great Battle Full Blast,PSP,2012,Namco Bandai Games,0,0,0.04,0,0.04
13649,Hitman (2016),PS4,2016,Square Enix,0,0.04,0,0.01,0.04
13652,7 Days to Die,XOne,2016,Telltale Games,0.02,0.02,0,0,0.04
13654,Doki Doki! PreCure Narikiri Life!,3DS,2013,Namco Bandai Games,0,0,0.04,0,0.04
13655,Gravity Falls: Legend of the Gnome Gemulets,3DS,2015,Ubisoft,0.03,0,0,0,0.04
13659,Way of the Samurai 2 Portable,PSP,2009,Spike,0,0,0.04,0,0.04
13663,Hellboy: The Science of Evil,PSP,2008,Konami Digital Entertainment,0.04,0,0,0,0.04
13680,Lionel Trains: On Track,DS,2006,DSI Games,0.04,0,0,0,0.04
13699,Catwoman,GBA,2004,Electronic Arts,0.03,0.01,0,0,0.04
13714,Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010,Namco Bandai Games,0,0,0.04,0,0.04
13719,Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,2012,Konami Digital Entertainment,0,0,0.04,0,0.04
