Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
7,New Super Mario Bros.,DS,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
8,Wii Play,Wii,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
21,Pokemon Diamond/Pokemon Pearl,DS,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
101,The Legend of Zelda: Twilight Princess,Wii,Action,Nintendo,3.83,2.19,0.6,0.7,7.31
142,Gears of War,X360,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11
148,Final Fantasy XII,PS2,Role-Playing,Square Enix,1.88,0,2.33,1.74,5.95
154,Cooking Mama,DS,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
196,Guitar Hero II,PS2,Misc,RedOctane,3.81,0.63,0,0.68,5.12
199,Grand Theft Auto: Vice City Stories,PSP,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08
241,Madden NFL 07,PS2,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
251,The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
254,Resistance: Fall of Man,PS3,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
267,Daxter,PSP,Platform,Sony Computer Entertainment,2.45,1.02,0,0.75,4.22
284,FIFA Soccer 07,PS2,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
310,MotorStorm,PS3,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
361,Grand Theft Auto: Liberty City Stories,PS2,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
377,Clubhouse Games,DS,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
403,English Training: Have Fun Improving Your Skills!,DS,Misc,Nintendo,0,0.99,2.32,0.02,3.33
445,Personal Trainer: Cooking,DS,Misc,Nintendo,0.91,1,1.03,0.17,3.12
491,WarioWare: Smooth Moves,Wii,Puzzle,Nintendo,0.87,1.06,0.73,0.26,2.92
527,Yoshi's Island DS,DS,Platform,Nintendo,1.47,0.07,1.1,0.15,2.8
551,Call of Duty 3,X360,Shooter,Activision,1.49,0.93,0.02,0.27,2.71
557,LEGO Star Wars II: The Original Trilogy,PS2,Action,LucasArts,1.85,0.64,0.01,0.19,2.69
570,Hannah Montana,DS,Action,Disney Interactive Studios,1.59,0.8,0,0.26,2.65
573,Medal of Honor Heroes,PSP,Shooter,Electronic Arts,0.86,1.11,0.01,0.66,2.65
578,Pac-Man: Adventures in Time,PSP,Fighting,Sony Computer Entertainment,0.76,1.1,0.12,0.65,2.63
597,WWE SmackDown vs. RAW 2007,PS2,Fighting,THQ,1.4,0.88,0.03,0.26,2.58
