Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10127,InuYasha: A Feudal Fairy Tale,PS,2002,Fighting,Namco Bandai Games,0,0,0.1,0.01,0.11
13144,Corpse Party: Blood Covered - Repeated Fear,PSP,2010,Adventure,5pb,0,0,0.05,0,0.05
16189,BattleForge,PC,2009,Strategy,Electronic Arts,0,0.01,0,0,0.01
10545,Inazuma Eleven GO Strikers 2013,Wii,2012,Role-Playing,Level 5,0,0,0.1,0,0.1
642,ATV Offroad Fury,PS2,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41
5756,Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment,0.06,0.02,0.13,0.1,0.31
7197,Shinobi,3DS,2011,Platform,Sega,0.14,0.07,0,0.02,0.22
13192,QUIZ PARTY,Wii,2012,Misc,Nintendo,0,0.05,0,0,0.05
13060,Fishdom,DS,2011,Puzzle,Atari,0.05,0,0,0,0.05
5976,MLB Power Pros,Wii,2007,Sports,Konami Digital Entertainment,0.23,0,0.04,0.02,0.29
10815,MindJack,X360,2011,Shooter,Square Enix,0.07,0.02,0,0.01,0.1
16092,Datenshi no Amai Yuuwaku x Kaikan Phrase,DS,2010,Adventure,FuRyu,0,0,0.01,0,0.01
1287,Imagine: Master Chef,DS,2007,Simulation,Ubisoft,0.39,0.92,0,0.17,1.47
2670,Marvel Nemesis: Rise of the Imperfects,PS2,2005,Fighting,Electronic Arts,0.64,0.02,0,0.1,0.77
6268,How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.05,0.2,0,0.02,0.27
13353,Black & Bruised,GC,2003,Fighting,Vivendi Games,0.04,0.01,0,0,0.05
5827,Shrek Swamp Kart Speedway,GBA,2002,Racing,TDK Mediactive,0.22,0.08,0,0.01,0.3
16309,Full Auto 2: Battlelines,PSP,2007,Racing,Sega,0,0.01,0,0,0.01
10806,Imagine: Reporter,DS,2010,Simulation,Ubisoft,0.08,0.01,0,0.01,0.1
8396,Disney Golf,PS2,2002,Sports,Electronic Arts,0.07,0.06,0.02,0.02,0.17
986,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77
14633,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006,Strategy,Broccoli,0,0,0.03,0,0.03
8887,Scarface: The World is Yours,Wii,2007,Action,Vivendi Games,0.12,0.01,0,0.01,0.15
12888,Rez,PS2,2001,Shooter,Sony Computer Entertainment,0.03,0.02,0,0.01,0.05
11493,TimeSplitters: Future Perfect,GC,2005,Shooter,Electronic Arts,0.06,0.02,0,0,0.08
16344,H2O+: Footprints in the Sand,PS2,2008,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
3218,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.34,0.23,0,0.06,0.63
10845,Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,0,0.09
1704,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19
6765,NBA Courtside 2002,GC,2002,Sports,Nintendo,0.19,0.05,0,0.01,0.25
13218,Strikers 1945,SAT,1996,Shooter,Atlus,0,0,0.05,0,0.05
15703,Monster High 13 Wishes,3DS,2013,Action,Little Orbit,0,0.02,0,0,0.02
15587,Arabians Lost: The Engagement on Desert,PS2,2007,Adventure,Prototype,0,0,0.02,0,0.02
11662,Katekyoo Hitman Reborn! DS: Flame Rumble Hyper - Moeyo Mirai,DS,2008,Fighting,Takara Tomy,0,0,0.08,0,0.08
2288,Namco Museum,XB,N/A,Misc,Unknown,0.77,0.11,0,0.04,0.91
2764,Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.16,0.22,0.07,0.74
2683,Pokemon Dash,DS,2004,Racing,Nintendo,0.21,0.14,0.38,0.04,0.77
5460,Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games,0,0,0.33,0,0.33
15753,Blazing Angels: Squadrons of WWII,PC,2006,Simulation,Ubisoft,0.01,0,0,0,0.02
4638,Cabela's Legendary Adventures,PS2,2008,Sports,Activision,0.21,0.16,0,0.05,0.42
6532,Muramasa: The Demon Blade,PSV,2013,Role-Playing,Marvelous Entertainment,0.13,0,0.1,0.03,0.26
3272,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.3,0.24,0,0.08,0.62
15853,Winning Post 7: Maximum 2007,PS3,2007,Sports,Tecmo Koei,0,0,0.02,0,0.02
11031,World Championship Games: A Track & Field Event,DS,2008,Sports,Ghostlight,0.08,0,0,0.01,0.09
4237,Crash of the Titans,Wii,2007,Action,Vivendi Games,0.4,0.03,0,0.04,0.46
16004,Diary Girl,DS,2008,Misc,Konami Digital Entertainment,0.01,0,0,0,0.01
5916,We Sing Pop!,Wii,2012,Misc,Nordic Games,0.08,0.19,0,0.03,0.3
