Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13476,Millipede / Super Breakout / Lunar Lander,GBA,2005,Misc,Zoo Digital Publishing,0.03,0.01,0,0,0.04
520,Metroid Prime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82
15140,Pac-Man World Rally,PS2,2006,Racing,Namco Bandai Games,0.01,0.01,0,0,0.02
3543,Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,0.28,0.22,0,0.07,0.57
4772,The Gunstringer,X360,2011,Shooter,Microsoft Game Studios,0.26,0.11,0,0.04,0.41
5655,Disney's Extreme Skate Adventure,PS2,2003,Sports,Activision,0.16,0.12,0,0.04,0.32
10771,Shadow Master,PS,1997,Adventure,Psygnosis,0.05,0.04,0,0.01,0.1
8525,Magic: The Gathering - Battlegrounds,XB,2003,Strategy,Atari,0.12,0.03,0,0.01,0.16
14254,FIFA World Cup: Germany 2006,GBA,2006,Sports,Electronic Arts,0.02,0.01,0,0,0.03
319,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
15599,Ketsui: Kizuna Jigoku Tachi Extra,X360,2010,Shooter,5pb,0,0,0.02,0,0.02
3402,Rock Band 2,PS2,2008,Misc,MTV Games,0.29,0.23,0,0.08,0.59
2507,Madden NFL 17,XOne,2016,Sports,Electronic Arts,0.72,0.02,0,0.09,0.82
6154,Harry Potter and the Sorcerer's Stone,PS2,2003,Action,Electronic Arts,0.14,0.11,0,0.04,0.28
12684,Vampire Rain: Altered Species,PS3,2008,Action,Ignition Entertainment,0.05,0,0,0,0.06
14387,thinkSMART FAMILY!,Wii,2010,Misc,Conspiracy Entertainment,0.03,0,0,0,0.03
14393,Phantasy Star Online 2 Episode 4: Deluxe Package,PS4,2017,Role-Playing,Sega,0,0,0.03,0,0.03
4247,"Warhammer 40,000: Space Marine",PS3,2011,Shooter,THQ,0.13,0.25,0,0.09,0.46
1112,Dragon Quest V: Tenkuu no Hanayome,PS2,2004,Role-Playing,Enix Corporation,0,0,1.65,0,1.65
6321,LEGO Harry Potter: Years 5-7,PSP,N/A,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0,0.06,0.27
11684,Samurai Warriors Chronicles 3,3DS,2014,Action,Tecmo Koei,0,0,0.08,0,0.08
8668,The Godfather: Blackhand Edition,Wii,2007,Adventure,Electronic Arts,0.14,0,0,0.01,0.16
7948,Star Trek: Legacy,X360,N/A,Simulation,Ubisoft,0.14,0.03,0,0.02,0.19
7344,WCW Backstage Assault,PS,1999,Action,Electronic Arts,0.12,0.08,0,0.01,0.21
3000,Red Steel,Wii,2006,Shooter,Ubisoft,0.55,0.04,0.04,0.05,0.68
7122,Tetris Attack,GB,1996,Puzzle,Nintendo,0,0,0.23,0,0.23
11906,All-Star Baseball 2004,GBA,2003,Sports,Acclaim Entertainment,0.05,0.02,0,0,0.07
2114,NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0,0.01,0.98
10151,Monkey Island: Special Edition Collection,PS3,2011,Adventure,Activision,0,0.08,0,0.03,0.11
3452,Harvest Moon: Sunshine Islands,DS,2008,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.58
5415,Tiny Tank,PS,1998,Action,Sony Computer Entertainment,0.19,0.13,0,0.02,0.34
9770,Mobile Suit Gundam Side Story: Missing Link,PS3,2014,Action,Namco Bandai Games,0,0,0.12,0,0.12
11615,Bleach: Heat the Soul 7,PSP,2010,Fighting,Sony Computer Entertainment,0,0,0.08,0,0.08
5423,The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts,0.11,0.17,0,0.05,0.34
7794,Shrek: Forever After,PS3,2010,Platform,Activision,0.16,0.02,0,0.02,0.19
8418,Lost Kingdoms,GC,2002,Role-Playing,Activision,0.1,0.02,0.04,0,0.17
9923,Jaws: Ultimate Predator,3DS,2011,Action,Majesco Entertainment,0.11,0,0,0.01,0.12
9962,TMNT,PSP,2007,Action,Ubisoft,0.1,0.01,0,0.01,0.12
6320,G-Force,PS2,2009,Action,Disney Interactive Studios,0.12,0.01,0,0.14,0.27
3223,Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0,0,0.63,0,0.63
13599,"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,2006,Adventure,Marvelous Interactive,0,0,0.04,0,0.04
2353,MLB 2001,PS,2000,Sports,Sony Computer Entertainment,0.49,0.34,0,0.06,0.89
2956,Mario Pinball Land,GBA,2004,Misc,Nintendo,0.5,0.18,0,0.01,0.69
11278,America's Army: True Soldiers,X360,2007,Shooter,Ubisoft,0.08,0,0,0.01,0.08
12736,Dungeon Explorer: Warriors of Ancient Arts,DS,2007,Role-Playing,Rising Star Games,0.05,0,0,0,0.06
8623,Amped 3,X360,2005,Sports,Take-Two Interactive,0.13,0.02,0,0.01,0.16
460,Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04
14004,Fighting Vipers 2,DC,2000,Fighting,Sega,0,0,0.04,0,0.04
4269,Gremlins,2600,1983,Action,Atari,0.43,0.03,0,0,0.46
5908,Rabbids: Alive & Kicking,X360,2011,Misc,Ubisoft,0.15,0.12,0,0.03,0.3
5517,DECA Sports Freedom,X360,2010,Sports,Hudson Soft,0.27,0.04,0,0.02,0.33
6785,Tongari Boushi to Oshare na Mahou Tsukai,DS,2011,Action,Konami Digital Entertainment,0,0,0.24,0,0.24
10451,Dancing on Ice,Wii,2010,Sports,Ghostlight,0,0.09,0,0.01,0.1
8350,Fate/Stay Night [Réalta Nua],PS2,2007,Adventure,Kadokawa Shoten,0,0,0.17,0,0.17
8008,Happy Cooking,DS,2006,Simulation,Ubisoft,0.17,0,0,0.01,0.18
11222,Wizardry: Tale of the Forsaken Land,PS2,2001,Role-Playing,Ubisoft,0.04,0.03,0,0.01,0.09
6960,Karaoke Revolution Volume 2,PS2,2004,Misc,Konami Digital Entertainment,0.11,0.09,0,0.03,0.23
3459,Titanfall,PC,2014,Shooter,Electronic Arts,0.21,0.3,0,0.07,0.58
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73
11472,Prey the Stars,DS,2008,Action,Tecmo Koei,0.07,0,0,0.01,0.08
7628,IHRA Drag Racing 2004,XB,2003,Racing,Bethesda Softworks,0.15,0.04,0,0.01,0.2
13314,Forza Motorsport 3: Ultimate Edition,X360,2010,Racing,Microsoft Game Studios,0,0.04,0,0.01,0.05
15394,Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator,PSP,2006,Misc,Sega,0,0,0.02,0,0.02
2488,Borderlands 2,PSV,2014,Shooter,Take-Two Interactive,0.43,0.21,0.01,0.19,0.83
4460,Army Men World War: Final Front,PS,2001,Action,3DO,0.24,0.17,0,0.03,0.44
5971,Power Pro Kun Pocket 4,GBA,2002,Sports,Konami Digital Entertainment,0,0,0.29,0.01,0.29
14149,Wangan Midnight,PS3,2007,Racing,Genki,0,0,0.03,0,0.03
11447,NASCAR The Game: Inside Line,PS3,2012,Racing,Activision,0.07,0,0,0.01,0.08
12272,ESPN Winter X-Games: Snowboarding 2002,GBA,2000,Sports,Konami Digital Entertainment,0.05,0.02,0,0,0.06
7175,NCAA Football 2005,GC,2004,Sports,Electronic Arts,0.17,0.04,0,0.01,0.22
10819,Shox,PS2,2002,Racing,Electronic Arts,0.05,0.04,0,0.01,0.09
6292,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001,Sports,Acclaim Entertainment,0.15,0.1,0,0.02,0.27
15820,Platypus,PSP,2006,Shooter,Funsta,0.02,0,0,0,0.02
2317,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0,0.09,0.9
13607,Playmobil Top Agents,DS,2010,Action,JoWood Productions,0,0.04,0,0,0.04
8968,Turbo Prop Racing,PS,1997,Racing,Sony Computer Entertainment,0.08,0.06,0,0.01,0.15
14490,Golden Nugget Casino / Texas Hold 'Em Double Pack,GBA,2005,Misc,Majesco Entertainment,0.02,0.01,0,0,0.03
15363,Polar Bowler,DS,2008,Sports,Mumbo Jumbo,0.02,0,0,0,0.02
6066,Trivial Pursuit,PS3,2009,Misc,Electronic Arts,0.12,0.12,0,0.05,0.29
9238,4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0,0,0.14
9028,G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0,0,0.03,0.14
11197,Counter-Strike: Source,PC,2004,Shooter,Vivendi Games,0,0.07,0,0.02,0.09
