Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1051,The Crew,PS4,2014,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
8484,Gunslingers,Wii,2010,Shooter,Neko Entertainment,0.08,0.06,0,0.02,0.16
15900,The Sims 4: Luxury Party Stuff,PC,2015,Simulation,Electronic Arts,0,0.01,0,0,0.02
7871,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.18,0,0,0.01,0.19
1204,Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0,0.13,1.55
4226,Mat Hoffman's Pro BMX 2,PS2,2002,Sports,Activision,0.23,0.18,0,0.06,0.46
13432,Avatar: The Game,PC,2009,Action,Ubisoft,0,0.04,0,0.01,0.05
14857,The Lord of the Rings: Conquest,PC,2009,Action,Electronic Arts,0,0.02,0,0,0.03
8402,Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0,0,0.17,0,0.17
8051,International Superstar Soccer 2000 (JP weekly sales),N64,1999,Sports,Konami Digital Entertainment,0,0,0.18,0,0.18
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
15727,Vitamin X Evolution Plus,PSP,2010,Adventure,D3Publisher,0,0,0.02,0,0.02
7839,GunGriffon,SAT,1995,Simulation,Sega,0,0,0.19,0,0.19
14130,Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,GBA,2002,Action,Hudson Soft,0,0,0.03,0,0.03
7100,BlowOut,PS2,2003,Shooter,Zoo Digital Publishing,0.11,0.09,0,0.03,0.23
14186,Rakushou! Pachi-Slot Sengen 5: Rio Paradise,PS2,2007,Misc,Tecmo Koei,0,0,0.03,0,0.03
13949,Magical Starsign (JP sales),DS,2006,Role-Playing,Nintendo,0,0,0.04,0,0.04
9475,Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software,0.06,0.02,0.04,0.02,0.13
14319,Toriko: Ultimate Survival,3DS,2013,Action,Namco Bandai Games,0,0,0.03,0,0.03
7833,IL-2 Sturmovik: Birds of Prey,PSP,2009,Simulation,505 Games,0.08,0.07,0,0.04,0.19
1887,Star Wars: Bounty Hunter,PS2,2002,Shooter,LucasArts,0.53,0.42,0,0.14,1.09
5223,Teenage Mutant Ninja Turtles: Smash-Up,Wii,2009,Fighting,Ubisoft,0.33,0,0,0.03,0.36
15842,Dream C Club: GoGo,PS3,2014,Adventure,D3Publisher,0,0,0.02,0,0.02
10310,Starsky & Hutch,GC,2003,Racing,BAM! Entertainment,0.08,0.02,0,0,0.11
2727,Genji: Days of the Blade,PS3,2006,Action,Sony Computer Entertainment,0.18,0.38,0.06,0.14,0.76
7398,Bass Pro Shops: The Strike,X360,2009,Sports,XS Games,0.2,0,0,0.02,0.21
7365,Tenchu: Return From Darkness,XB,2004,Action,Activision,0.16,0.05,0,0.01,0.21
2757,MVP 06 NCAA Baseball,PS2,2006,Sports,Electronic Arts,0.62,0.02,0,0.1,0.75
2002,F-Zero: Maximum Velocity,GBA,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
7184,Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013,Role-Playing,Tecmo Koei,0.06,0.04,0.1,0.02,0.22
2674,Crystal Castles,2600,1983,Action,Atari,0.72,0.04,0,0.01,0.77
951,The Orange Box,X360,2007,Shooter,Electronic Arts,1.09,0.54,0.02,0.17,1.83
1502,IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0,0.17,1.31
4055,WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33,0.49
9266,Singstar: Ultimate Party,PS3,2014,Misc,Sony Computer Entertainment Europe,0,0.12,0,0.02,0.14
14979,Bunmei Haruka: Aoiza Ibunroku,PSP,2011,Action,FuRyu,0,0,0.02,0,0.02
2623,Sid Meier's Civilization Revolution,PS3,2008,Strategy,Take-Two Interactive,0.49,0.19,0.01,0.1,0.79
4469,Wario World,GC,2003,Platform,Nintendo,0.34,0.09,0,0.01,0.44
15032,Okashi na Shima no Peter Pan: Sweet Never Land,PSP,2011,Adventure,Quinrose,0,0,0.02,0,0.02
9277,Houshinengi,PS,1998,Strategy,Tecmo Koei,0,0,0.13,0.01,0.14
10785,Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,2012,Adventure,Gust,0,0,0.1,0,0.1
10591,All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0,0,0.1,0,0.1
11159,My Stop Smoking Coach: Allen Carr's EasyWay,DS,2008,Misc,Ubisoft,0.07,0.01,0,0.01,0.09
14428,Renai 0 Kilometer,PSP,2013,Adventure,Alchemist,0,0,0.03,0,0.03
6955,New Carnival Games,DS,2010,Misc,Take-Two Interactive,0.16,0.05,0,0.02,0.23
10492,Lucha Libre AAA: Heroes del Ring,PS3,2010,Fighting,Konami Digital Entertainment,0.1,0,0,0.01,0.1
13304,Rock Band Country Track Pack 2,X360,2011,Misc,MTV Games,0.04,0,0,0,0.05
