Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
650,Frogger's Adventures: Temple of the Frog,GBA,Konami Digital Entertainment,2.15,0.18,0,0.07,2.39
1515,Adventure,2600,Atari,1.21,0.08,0,0.01,1.3
8555,Alone in the Dark: The New Nightmare,PS,Infogrames,0.09,0.06,0,0.01,0.16
9823,The Daring Game for Girls,DS,Unknown,0.11,0,0,0.01,0.12
10794,The Daring Game for Girls,Wii,Unknown,0.09,0,0,0.01,0.1
11457,The Hidden,3DS,Unknown,0.08,0,0,0,0.08
13674,B.L.U.E.: Legend of Water,PS,N/A,0,0,0.04,0,0.04
14945,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,N/A,0,0,0.02,0,0.02
15319,Runaway: A Twist of Fate,DS,Focus Home Interactive,0,0.02,0,0,0.02
16369,Hakuouki: Shinsengumi Kitan,PS3,Unknown,0.01,0,0,0,0.01
