Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
11216,Pro Evolution Soccer 2013,PC,2012,Konami Digital Entertainment,0,0.07,0,0.01,0.09
11226,FIFA 12,PS2,2011,Electronic Arts,0,0.02,0,0.06,0.09
11234,Sega Bass Fishing,DC,1999,Sega,0,0,0.09,0,0.09
11243,Rugby 15,XOne,2015,Bigben Interactive,0.03,0.05,0,0.01,0.09
11255,NCAA Football 08,XB,2007,Electronic Arts,0.06,0.02,0,0,0.08
11259,Winter Sports 2: The Next Challenge,PS2,2008,Conspiracy Entertainment,0.04,0.03,0,0.01,0.08
11264,Diva Girls: Divas on Ice,Wii,2009,505 Games,0.07,0.01,0,0.01,0.08
11274,Don King Boxing,DS,2009,Take-Two Interactive,0.06,0.01,0,0.01,0.08
11286,Major League Baseball 2K9,PSP,2009,Spike,0.08,0,0,0.01,0.08
11293,Derby Tsuku: Derby Uma o Tsukurou!,DC,2000,Sega,0,0,0.08,0,0.08
11294,Captain Tsubasa: New Kick Off,DS,2010,Konami Digital Entertainment,0,0.02,0.06,0,0.08
11308,ESPN NFL Primetime 2002,PS2,2001,Konami Digital Entertainment,0.04,0.03,0,0.01,0.08
11310,101-in-1 Sports Megamix,DS,2010,Nordcurrent,0.08,0,0,0.01,0.08
11318,Major League Baseball 2K12,DS,2012,Take-Two Interactive,0.08,0,0,0.01,0.08
11322,Sports Collection,DS,2010,Ubisoft,0.06,0.01,0,0.01,0.08
11328,NHL 2K7,X360,2006,Take-Two Interactive,0.07,0,0,0.01,0.08
11333,Get Fit with Mel B,X360,N/A,Black Bean Games,0,0.07,0,0.01,0.08
11342,FIFA Street 2,XB,2006,Electronic Arts,0.06,0.02,0,0,0.08
11347,Orega Kantoku Da! Gekitou Pennant Race,PS2,2000,Enix Corporation,0,0,0.08,0,0.08
11351,Jikkyou Powerful Pro Yakyuu 12,GC,2005,Konami Digital Entertainment,0,0,0.08,0,0.08
11358,LEGO Soccer Mania,PS2,2002,Electronic Arts,0.04,0.03,0,0.01,0.08
11364,Deadliest Catch: Sea of Chaos,PS3,2010,Crave Entertainment,0.08,0,0,0.01,0.08
11381,Derby Stallion 98,SNES,1998,ASCII Entertainment,0,0,0.08,0,0.08
11389,J-League Winning Eleven 2009: Club Championship,PS2,2009,Konami Digital Entertainment,0,0,0.08,0,0.08
11395,FIFA Soccer 2005,GBA,2004,Electronic Arts,0.06,0.02,0,0,0.08
11398,NHL 06,GC,2005,Electronic Arts,0.06,0.02,0,0,0.08
11400,Major League Baseball 2K11,PC,2011,Take-Two Interactive,0.06,0.01,0,0.01,0.08
11414,10 Minute Solution,Wii,2010,Activision,0.06,0.01,0,0.01,0.08
11416,Jikkyou Powerful Pro Yakyuu 15,Wii,2008,Konami Digital Entertainment,0,0,0.08,0,0.08
11421,Swingerz Golf,GC,2002,Eidos Interactive,0.06,0.02,0,0,0.08
11422,Pro Evolution Soccer 2008 (JP sales),DS,2007,Konami Digital Entertainment,0,0,0.08,0,0.08
11431,FIFA Soccer 2003,GC,2002,Electronic Arts,0.06,0.02,0,0,0.08
11433,Little League World Series Baseball: Double Play,DS,2010,Activision,0.08,0,0,0.01,0.08
11437,Outlaw Golf,GC,2002,TDK Mediactive,0.06,0.02,0,0,0.08
11442,Slam 'n Jam '96 featuring Magic & Kareem,PS,1995,Crystal Dynamics,0.04,0.03,0,0.01,0.08
11458,Jikkyou Powerful Major League 2009,PS2,2009,Konami Digital Entertainment,0,0,0.08,0,0.08
11481,NHL Breakaway 99,N64,1998,Acclaim Entertainment,0.07,0.01,0,0,0.08
11482,Tony Hawk's Pro Skater 3,N64,2002,Activision,0.06,0.02,0,0,0.08
11492,High Heat Major League Baseball 2004,XB,2003,3DO,0.06,0.02,0,0,0.08
11509,Cabela's North American Adventures,PS2,2010,Activision,0.04,0.03,0,0.01,0.08
11512,NBA 10: The Inside,PSP,2009,Sony Computer Entertainment,0.07,0,0,0.01,0.08
11513,Jillian Michaels Fitness Ultimatum 2010,DS,2009,Majesco Entertainment,0.07,0,0,0.01,0.08
11547,Little League World Series Baseball 2010,PS3,2010,Activision,0.07,0,0,0.01,0.08
11556,Boxing Fever,GBA,2001,THQ,0.06,0.02,0,0,0.08
11562,New International Track & Field,DS,2008,Konami Digital Entertainment,0.07,0,0,0.01,0.08
11566,Madden NFL 17,X360,2016,Electronic Arts,0.06,0.01,0,0.01,0.08
11570,Skydiving Extreme,PS,2001,Banpresto,0.04,0.03,0,0.01,0.08
11579,Rapala Pro Bass Fishing 2010,PS2,2010,Activision,0.04,0.03,0,0.01,0.08
11587,Striker 96,PS,1995,Time Warner Interactive,0.04,0.03,0,0.01,0.08
11600,Outlaw Tennis,PS2,2005,Global Star,0.04,0.03,0,0.01,0.08
