Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
105,Need for Speed Underground,PS2,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
111,Mario Kart: Double Dash!!,GC,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
175,Final Fantasy X-2,PS2,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
183,Super Mario Bros. 3,GBA,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
191,Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
225,The Simpsons: Hit & Run,PS2,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7
271,EyeToy Play,PS2,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
307,Tony Hawk's Underground,PS2,Sports,Activision,2.29,1.17,0.01,0.42,3.9
409,The Lord of the Rings: The Return of the King,PS2,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
412,True Crime: Streets of LA,PS2,Action,Activision,1.89,1.05,0.02,0.31,3.27
429,Enter the Matrix,PS2,Action,Atari,1.78,1.12,0.09,0.19,3.18
481,Sonic Heroes,PS2,Platform,Sega,1.04,1.37,0.06,0.49,2.96
486,SOCOM II: U.S. Navy SEALs,PS2,Shooter,Sony Computer Entertainment,2.22,0.51,0.06,0.15,2.94
498,World Soccer Winning Eleven 7 International,PS2,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9
521,Finding Nemo,GBA,Action,THQ,1.59,1.05,0.04,0.14,2.82
525,WWE SmackDown! Here Comes the Pain,PS2,Fighting,THQ,1.32,1.06,0.04,0.38,2.8
538,Jak II,PS2,Platform,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78
540,Ratchet & Clank: Going Commando,PS2,Platform,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
542,The Sims,PS2,Simulation,Electronic Arts,1.41,1.12,0,0.24,2.77
571,Tom Clancy's Splinter Cell,PS2,Action,Ubisoft,1.15,1.11,0,0.4,2.65
605,Pokémon Colosseum,GC,Role-Playing,Nintendo,1.21,0.57,0.7,0.07,2.54
618,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,Action,Take-Two Interactive,1.84,0.56,0,0.09,2.49
635,The Sims: Bustin' Out,PS2,Simulation,Electronic Arts,1.07,1.19,0,0.18,2.43
641,Dragon Ball Z: Budokai 2,PS2,Fighting,Atari,1.63,0.22,0.51,0.06,2.41
728,Prince of Persia: The Sands of Time,PS2,Action,Ubisoft,0.88,1.03,0,0.31,2.22
744,Star Wars: Knights of the Old Republic,XB,Role-Playing,Activision,1.68,0.44,0,0.08,2.19
753,Mario & Luigi: Superstar Saga,GBA,Role-Playing,Nintendo,1.48,0.17,0.47,0.06,2.17
771,Final Fantasy Tactics Advance,GBA,Role-Playing,SquareSoft,0.82,0.37,0.89,0.05,2.13
785,Dynasty Warriors 4,PS2,Action,Tecmo Koei,0.63,0.21,1.13,0.13,2.11
795,Finding Nemo,PS2,Action,THQ,1.26,0.6,0.05,0.18,2.09
805,Mario Party 5,GC,Misc,Nintendo,0.97,0.33,0.73,0.06,2.08
821,SoulCalibur II,PS2,Fighting,Namco Bandai Games,1.06,0.62,0.13,0.25,2.06
836,Donkey Kong Country,GBA,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04
841,NBA Live 2004,PS2,Sports,Electronic Arts,1.57,0.18,0,0.27,2.03
864,Devil May Cry 2,PS2,Action,Capcom,0.71,0.58,0.51,0.17,1.97
874,Crash Nitro Kart,PS2,Racing,Vivendi Games,0.74,1.01,0,0.2,1.95
877,NBA Street Vol. 2,PS2,Sports,Electronic Arts,1.69,0.2,0,0.06,1.95
878,Def Jam Vendetta,PS2,Fighting,Electronic Arts,0.95,0.74,0,0.25,1.94
900,The Sims: Makin' Magic,PC,Simulation,Electronic Arts,1.03,0.8,0,0.09,1.92
960,DDRMAX2: Dance Dance Revolution,PS2,Simulation,Konami Digital Entertainment,1.05,0.59,0,0.18,1.81
973,Midnight Club II,PS2,Racing,Take-Two Interactive,1.25,0.29,0,0.24,1.78
1034,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,Action,Take-Two Interactive,0.85,0.66,0,0.22,1.72
1041,Star Ocean: Till The End of Time,PS2,Role-Playing,Ubisoft,0.8,0.21,0.55,0.15,1.72
1047,Need for Speed Underground,XB,Racing,Electronic Arts,1.09,0.55,0,0.07,1.71
1080,The Sims: Superstar,PC,Simulation,Electronic Arts,1.67,0,0,0,1.68
1085,SSX 3,PS2,Sports,Electronic Arts,0.93,0.52,0,0.22,1.67
1095,PGR: Project Gotham Racing 2,XB,Racing,Microsoft Game Studios,0.97,0.59,0.04,0.07,1.67
1097,NCAA Football 2004,PS2,Sports,Electronic Arts,1.35,0.09,0,0.23,1.67
1098,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,Platform,THQ,1.08,0.45,0,0.14,1.67
1130,Tiger Woods PGA Tour 2004,PS2,Sports,Electronic Arts,1.18,0.34,0,0.1,1.63
1139,Kirby Air Ride,GC,Racing,Nintendo,1.01,0.11,0.45,0.04,1.62
1159,Sonic Heroes,GC,Platform,Sega,1.05,0.44,0.06,0.04,1.6
1194,Pokemon Pinball: Ruby & Sapphire,GBA,Misc,Nintendo,0.68,0.38,0.44,0.05,1.56
1199,Tom Clancy's Rainbow Six 3,XB,Shooter,Ubisoft,0.91,0.57,0,0.07,1.55
1214,Warcraft III: The Frozen Throne,PC,Strategy,Activision,0.58,0.87,0,0.09,1.54
1227,Mario Golf: Toadstool Tour,GC,Sports,Nintendo,1.09,0.15,0.25,0.04,1.53
1253,SoulCalibur II,GC,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08,1.5
1269,Final Fantasy: Crystal Chronicles,GC,Role-Playing,Nintendo,0.72,0.38,0.36,0.04,1.49
1291,Disney Princess,GBA,Platform,THQ,1.04,0.37,0,0.06,1.47
1303,Midway Arcade Treasures,PS2,Misc,Midway Games,0.72,0.56,0,0.19,1.46
1323,Resident Evil: Outbreak,PS2,Action,Capcom,0.54,0.35,0.46,0.1,1.45
1378,Gran Turismo 4 Prologue,PS2,Racing,Sony Computer Entertainment,0,0.47,0.77,0.17,1.41
