Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10496,Atsumare! Power Pro Kun no DS Koushien,DS,N/A,N/A,0,0,0.1,0,0.1
10511,Blitz: The League II,X360,2008,Midway Games,0.08,0.01,0,0.01,0.1
10528,FIFA Street,XB,2005,Electronic Arts,0.08,0.02,0,0,0.1
10538,Football Director DS,DS,2008,Pinnacle,0,0.1,0,0,0.1
10558,Pro Evolution Soccer 2016,XOne,2015,Konami Digital Entertainment,0.03,0.06,0,0.01,0.1
10559,Dark Summit,XB,2001,THQ,0.08,0.02,0,0,0.1
10564,Surf's Up,X360,2007,Ubisoft,0.09,0,0,0.01,0.1
10566,NHL 2004,GC,2003,Electronic Arts,0.08,0.02,0,0,0.1
10570,World Snooker Championship 2007,PS3,2007,Sega,0,0.1,0,0,0.1
10585,Olympic Summer Games: Atlanta 1996,PS,1996,U.S. Gold,0.06,0.04,0,0.01,0.1
