Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
9916,Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Eidos Interactive,0.09,0.03,0,0,0.12
9921,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,1994,Angel Studios,0,0,0.12,0,0.12
9935,King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Spike,0,0,0.12,0,0.12
9987,Center Ring Boxing,SAT,1994,JVC,0,0,0.12,0,0.12
10001,DOA 2: Dead or Alive 2 Hardcore,PS2,2000,Tecmo Koei,0,0,0.11,0,0.11
10019,Melty Blood: Act Cadenza,PS2,2006,Sega,0,0,0.11,0,0.11
10036,Ultimate Mortal Kombat,DS,2007,Midway Games,0.09,0.01,0,0.01,0.11
10038,Primal Rage,PS,1994,Time Warner Interactive,0.06,0.04,0,0.01,0.11
10045,BoomBots,PS,1999,SouthPeak Games,0.06,0.04,0,0.01,0.11
10080,The King of Fighters XII,X360,2009,Ignition Entertainment,0.09,0,0.01,0.01,0.11
