Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
183,Super Mario Bros. 3,GBA,Nintendo,2.93,1.25,0.83,0.2,5.2
481,Sonic Heroes,PS2,Sega,1.04,1.37,0.06,0.49,2.96
538,Jak II,PS2,Sony Computer Entertainment,1.68,0.74,0,0.36,2.78
540,Ratchet & Clank: Going Commando,PS2,Sony Computer Entertainment,1.44,0.83,0.26,0.25,2.78
836,Donkey Kong Country,GBA,Nintendo,1.2,0.48,0.29,0.07,2.04
1098,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,THQ,1.08,0.45,0,0.14,1.67
1159,Sonic Heroes,GC,Sega,1.05,0.44,0.06,0.04,1.6
1291,Disney Princess,GBA,THQ,1.04,0.37,0,0.06,1.47
1426,Crash Bandicoot 2: N-Tranced,GBA,Vivendi Games,0.63,0.66,0,0.07,1.36
1534,Pirates of the Caribbean: The Curse of the Black Pearl,GBA,TDK Mediactive,0.93,0.34,0,0.02,1.29
1567,Sonic Adventure DX: Director's Cut,GC,Sega,0.87,0.3,0.06,0.03,1.27
1623,SpongeBob SquarePants: Battle for Bikini Bottom,GBA,THQ,0.88,0.33,0,0.02,1.23
1780,Tak and the Power of Juju,PS2,THQ,0.56,0.44,0,0.15,1.15
2178,SpongeBob SquarePants: Battle for Bikini Bottom,GC,THQ,0.74,0.19,0,0.03,0.95
2309,Sonic Heroes,XB,Sega,0.41,0.43,0.01,0.05,0.9
3043,The Fairly Odd Parents: Breakin Da Rules,PS2,THQ,0.33,0.25,0,0.09,0.67
3153,X2: Wolverine's Revenge,PS2,Activision,0.31,0.24,0,0.08,0.64
3547,SpongeBob SquarePants: Battle for Bikini Bottom,XB,THQ,0.45,0.1,0,0.02,0.57
3678,Tak and the Power of Juju,GBA,THQ,0.39,0.15,0,0.01,0.55
3708,The Fairly Odd Parents: Breakin' Da Rules,GBA,THQ,0.39,0.14,0,0.01,0.54
3752,The Hobbit,PS2,Vivendi Games,0.26,0.2,0,0.07,0.54
3953,Looney Tunes: Back in Action,PS2,Warner Bros. Interactive Entertainment,0.25,0.19,0,0.06,0.5
4439,Densetsu no Stafi 2,GBA,Nintendo,0,0,0.43,0.01,0.44
4469,Wario World,GC,Nintendo,0.34,0.09,0,0.01,0.44
4523,Mega Man Zero 2,GBA,Capcom,0.18,0.07,0.17,0.01,0.43
4790,Tak and the Power of Juju,GC,THQ,0.31,0.08,0,0.01,0.4
4865,I-Ninja,PS2,Sony Computer Entertainment,0.19,0.15,0,0.05,0.4
5236,Disney's The Haunted Mansion,PS2,Take-Two Interactive,0.18,0.14,0,0.05,0.36
5452,Banjo-Kazooie: Grunty's Revenge,GBA,THQ,0.24,0.09,0,0.01,0.33
5536,Spy Kids 3-D: Game Over,GBA,Disney Interactive Studios,0.24,0.09,0,0.01,0.33
5641,Frogger's Adventures: The Rescue,PS2,Konami Digital Entertainment,0.16,0.12,0,0.04,0.32
5835,Spyro: Attack of the Rhynocs,GBA,Universal Interactive,0.22,0.08,0,0.01,0.3
6079,Rayman 3: Hoodlum Havoc,PS2,Ubisoft,0.14,0.11,0,0.04,0.29
6178,Mission: Impossible - Operation Surma,PS2,Atari,0.14,0.11,0,0.04,0.28
6252,Castlevania: Aria of Sorrow,GBA,Konami Digital Entertainment,0.2,0.07,0,0,0.28
6668,Billy Hatcher and the Giant Egg,GC,Sega,0.19,0.05,0,0.01,0.25
6806,Vexx,PS2,Acclaim Entertainment,0.12,0.09,0,0.03,0.24
6894,The Hobbit,XB,Vivendi Games,0.18,0.05,0,0.01,0.24
6959,Wallace & Gromit in Project Zoo,PS2,BAM! Entertainment,0.11,0.09,0,0.03,0.23
7285,Samurai Jack: The Amulet of Time,GBA,Zoo Digital Publishing,0.16,0.06,0,0,0.22
7400,Maximo vs Army of Zin,PS2,Capcom,0.1,0.08,0,0.03,0.21
7401,The Fairly OddParents: Breakin' Da Rules,GC,THQ,0.16,0.04,0,0.01,0.21
7440,Shrek: Reekin' Havoc,GBA,TDK Mediactive,0.15,0.06,0,0,0.21
7494,X2: Wolverine's Revenge,XB,Activision,0.15,0.04,0,0.01,0.21
7582,X2: Wolverine's Revenge,GBA,Activision,0.14,0.05,0,0,0.2
7743,The Hobbit,GBA,Vivendi Games,0.14,0.05,0,0,0.19
8172,Looney Tunes: Back in Action,GBA,Electronic Arts,0.13,0.05,0,0,0.18
8262,The Hobbit,GC,Vivendi Games,0.13,0.03,0,0,0.17
8309,Looney Tunes: Back in Action,GC,Warner Bros. Interactive Entertainment,0.13,0.03,0,0,0.17
8403,Mega Man Network Transmission,GC,Capcom,0.13,0.03,0,0,0.17
8793,Frogger's Adventures: The Rescue,GC,Konami Digital Entertainment,0.12,0.03,0,0,0.15
9017,Rayman 3,GBA,Ubisoft,0.1,0.04,0,0,0.14
9117,Scooby-Doo! Night of 100 Frights,XB,THQ,0.11,0.03,0,0.01,0.14
9457,Mission: Impossible - Operation Surma,XB,Atari,0.1,0.03,0,0,0.13
9760,Voodoo Vince,XB,Microsoft Game Studios,0.09,0.03,0,0,0.12
9806,X2: Wolverine's Revenge,GC,Activision,0.09,0.02,0,0,0.12
10150,The Fairly Odd Parents: Breakin Da Rules,XB,THQ,0.08,0.02,0,0,0.11
10441,Vexx,XB,Acclaim Entertainment,0.08,0.02,0,0,0.1
10587,Disney's The Haunted Mansion,GC,Take-Two Interactive,0.08,0.02,0,0,0.1
10709,Piglet's Big Game,PS2,Gotham Games,0.05,0.04,0,0.01,0.1
10939,I-Ninja,GC,Namco Bandai Games,0.07,0.02,0,0,0.09
10989,Disney's The Haunted Mansion,XB,Take-Two Interactive,0.07,0.02,0,0,0.09
11758,Futurama,PS2,SCi,0.04,0.03,0,0.01,0.07
11762,Rayman 3: Hoodlum Havoc,XB,Ubisoft,0.06,0.02,0,0,0.07
11819,I-Ninja,XB,Namco Bandai Games,0.05,0.02,0,0,0.07
11905,Pitfall: The Lost Expedition,GBA,Activision,0.05,0.02,0,0,0.07
11981,Wallace & Gromit in Project Zoo,GC,BAM! Entertainment,0.05,0.01,0,0,0.07
12002,Rayman 3: Hoodlum Havoc,GC,Ubisoft,0.05,0.01,0,0,0.07
12474,Vexx,GC,Acclaim Entertainment,0.05,0.01,0,0,0.06
12569,Oddworld: Munch's Oddysee,GBA,THQ,0.04,0.02,0,0,0.06
12898,Shaman King: Soul Fight,GC,Namco Bandai Games,0,0,0.05,0,0.05
12908,Sitting Ducks,PS2,LSP Games,0.03,0.02,0,0.01,0.05
12988,Piglet's Big Game,GC,Gotham Games,0.04,0.01,0,0,0.05
12999,Piglet's Big Game,GBA,THQ,0.04,0.01,0,0,0.05
13433,Futurama,XB,SCi,0.03,0.01,0,0,0.05
13532,Justice League: Chronicles,GBA,Midway Games,0.03,0.01,0,0,0.04
13745,Superman: Countdown to Apokolips,GBA,Atari,0.03,0.01,0,0,0.04
13785,Mission: Impossible - Operation Surma,GBA,Atari,0.03,0.01,0,0,0.04
13971,Garfield: The Search for Pooky,GBA,Game Factory,0.03,0.01,0,0,0.04
14375,Sitting Ducks,GBA,LSP Games,0.02,0.01,0,0,0.03
14391,Rayman 3: Hoodlum Havoc,PC,Ubisoft,0,0.03,0,0.01,0.03
14545,Disney's Aladdin,GBA,Capcom,0.02,0.01,0,0,0.03
14593,Wallace & Gromit in Project Zoo,XB,BAM! Entertainment,0.02,0.01,0,0,0.03
15658,Ozzy & Drix,GBA,Midway Games,0.01,0,0,0,0.02
15678,Spirits & Spells,GC,Wanadoo,0.01,0,0,0,0.02
15916,Dragon Tales: Dragon Adventures,GBA,NewKidCo,0.01,0,0,0,0.02
16600,Spirits & Spells,GBA,Wanadoo,0.01,0,0,0,0.01
