Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
608,Space Invaders,2600,Atari,2.36,0.14,0,0.03,2.53
713,Call of Duty 3,Wii,Activision,1.19,0.84,0,0.23,2.26
1128,Call of Duty: Black Ops,PC,Activision,0.58,0.81,0,0.24,1.63
2115,Air-Sea Battle,2600,Atari,0.91,0.06,0,0.01,0.98
3954,Wet,X360,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,Vivendi Games,0.32,0.11,0,0.02,0.45
5627,Singularity,X360,Unknown,0.24,0.05,0,0.02,0.32
5771,Star Wars Jedi Knight II: Jedi Outcast,XB,Activision,0.23,0.07,0,0.01,0.31
6155,Unreal Championship 2: The Liandri Conflict,XB,Midway Games,0.22,0.05,0,0.01,0.28
6316,Gun,X360,Activision,0.24,0.01,0,0.02,0.27
6808,BioShock 2,PC,Take-Two Interactive,0.02,0.19,0,0.04,0.24
6834,Singularity,PS3,Unknown,0.17,0.04,0.01,0.03,0.24
7037,Tribes: Aerial Assault,PS2,Unknown,0.11,0.09,0,0.03,0.23
7384,Robotech: Battlecry,XB,Unknown,0.16,0.05,0,0.01,0.21
8169,Otomedius Excellent,X360,Unknown,0.13,0,0.04,0.01,0.18
10364,Disney's Chicken Little: Ace In Action,Wii,Disney Interactive Studios,0.1,0,0,0.01,0.11
11923,Dream Trigger 3D,3DS,D3Publisher,0.04,0.02,0,0.01,0.07
12017,Drake of the 99 Dragons,XB,Unknown,0.05,0.01,0,0,0.07
12533,Combat Elite: WWII Paratroopers,PS2,Unknown,0.03,0.02,0,0.01,0.06
12751,Tom Clancy's Rainbow Six: Critical Hour,XB,Unknown,0.04,0.01,0,0,0.06
13964,World of Tanks,X360,N/A,0,0.03,0,0,0.04
14476,Combat Elite: WWII Paratroopers,XB,Unknown,0.02,0.01,0,0,0.03
15000,Wii de Asobu: Metroid Prime,Wii,Nintendo,0,0,0.02,0,0.02
15002,Wii de Asobu: Metroid Prime,Wii,Nintendo,0,0,0.02,0,0.02
15200,Saint,Wii,Unknown,0.02,0,0,0,0.02
15720,Without Warning,XB,Capcom,0.01,0,0,0,0.02
16232,Brothers in Arms: Furious 4,X360,N/A,0.01,0,0,0,0.01
16330,Inversion,PC,Namco Bandai Games,0.01,0,0,0,0.01
