Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
45,Grand Theft Auto V,PS4,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33
94,Call of Duty: Advanced Warfare,PS4,Shooter,Activision,2.8,3.3,0.14,1.37,7.6
98,Super Smash Bros. for Wii U and 3DS,3DS,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45
109,Mario Kart 8,WiiU,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96
125,FIFA 15,PS4,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59
155,Destiny,PS4,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
169,Minecraft,PS3,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
194,Call of Duty: Advanced Warfare,XOne,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
198,Grand Theft Auto V,XOne,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
204,Super Smash Bros. for Wii U and 3DS,WiiU,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02
220,FIFA 15,PS3,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82
237,The Last of Us,PS4,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
245,Call of Duty: Advanced Warfare,PS3,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
258,Call of Duty: Advanced Warfare,X360,Shooter,Activision,2.75,1.18,0,0.37,4.31
281,Watch Dogs,PS4,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
296,Far Cry 4,PS4,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
298,Minecraft,PS4,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
305,Assassin's Creed: Unity,PS4,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
309,Monster Hunter 4 Ultimate,3DS,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
382,Assassin's Creed: Unity,XOne,Action,Ubisoft,2.26,0.89,0,0.3,3.46
411,Destiny,XOne,Shooter,Activision,2.13,0.92,0,0.23,3.28
420,Yokai Watch 2 Ganso/Honke,3DS,Role-Playing,Nintendo,0.03,0,3.18,0,3.22
440,Halo: The Master Chief Collection,XOne,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
450,FIFA 15,X360,Sports,Electronic Arts,0.78,2.02,0,0.3,3.11
472,Middle-Earth: Shadow of Mordor,PS4,Action,Warner Bros. Interactive Entertainment,1.01,1.41,0.05,0.53,2.99
479,The Sims 4,PC,Simulation,Electronic Arts,0.96,1.72,0,0.29,2.97
495,Titanfall,XOne,Shooter,Electronic Arts,1.84,0.8,0.04,0.22,2.9
539,inFAMOUS: Second Son,PS4,Action,Sony Computer Entertainment,1.27,0.97,0.07,0.47,2.78
562,Yokai Watch 2 Shinuchi,3DS,Role-Playing,Level 5,0,0,2.68,0,2.68
644,Minecraft,XOne,Misc,Microsoft Game Studios,1.43,0.76,0,0.22,2.41
663,NBA 2K15,PS4,Sports,Take-Two Interactive,1.46,0.54,0.01,0.37,2.38
700,Just Dance 2015,Wii,Misc,Ubisoft,1.11,0.98,0,0.2,2.28
715,Minecraft,PSV,Misc,Sony Computer Entertainment Europe,0.28,0.79,0.87,0.32,2.25
762,FIFA 15,XOne,Sports,Electronic Arts,0.6,1.41,0,0.14,2.15
838,Madden NFL 15,PS4,Sports,Electronic Arts,1.53,0.25,0,0.25,2.03
844,Madden NFL 15,X360,Sports,Electronic Arts,1.76,0.09,0,0.17,2.02
850,DriveClub,PS4,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33,2
860,Dragon Age: Inquisition,PS4,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32,1.97
873,Destiny,X360,Shooter,Activision,1.3,0.49,0,0.16,1.95
893,Watch Dogs,PS3,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93
931,LittleBigPlanet 3,PS4,Platform,Sony Computer Entertainment,0.64,0.92,0.01,0.29,1.86
953,Kirby: Triple Deluxe,3DS,Platform,Nintendo,0.61,0.34,0.79,0.09,1.82
959,The Evil Within,PS4,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
1024,Diablo III,PS4,Role-Playing,Activision,0.49,0.88,0.06,0.3,1.74
1026,Destiny,PS3,Shooter,Activision,0.67,0.66,0.12,0.27,1.73
1051,The Crew,PS4,Racing,Ubisoft,0.34,1.08,0.03,0.26,1.7
1060,NBA 2K15,XOne,Sports,Take-Two Interactive,1.36,0.18,0,0.15,1.69
1132,NBA 2K15,X360,Sports,Take-Two Interactive,1.33,0.14,0,0.15,1.63
1149,Far Cry 4,XOne,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61
1170,Wolfenstein: The New Order,PS4,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58
1204,Watch Dogs,XOne,Action,Ubisoft,0.9,0.53,0,0.13,1.55
