Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
268,Warcraft II: Tides of Darkness,PC,Strategy,Activision,1.7,2.27,0,0.23,4.21
283,Super Mario World 2: Yoshi's Island,SNES,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
318,Namco Museum Vol.1,PS,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
416,Tekken,PS,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
423,Killer Instinct,SNES,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
427,Dragon Quest VI: Maboroshi no Daichi,SNES,Role-Playing,Enix Corporation,0,0,3.19,0,3.19
463,Rayman,PS,Platform,Ubisoft,1.54,1.33,0,0.16,3.03
672,Kirby's Dream Land 2,GB,Platform,Nintendo,0.69,0.14,1.48,0.05,2.36
690,Chrono Trigger,SNES,Role-Playing,SquareSoft,0.28,0,2.02,0.01,2.31
890,Virtua Fighter 2,SAT,Fighting,Sega,0.34,0.26,1.3,0.03,1.93
952,Air Combat,PS,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
1190,Twisted Metal,PS,Action,Sony Computer Entertainment,1.32,0.19,0,0.05,1.56
1523,Romancing SaGa 3,SNES,Role-Playing,SquareSoft,0,0,1.29,0.01,1.3
1556,Road Rash,PS,Racing,Electronic Arts,0.71,0.48,0,0.08,1.27
1755,Sega Rally Championship,SAT,Racing,Sega,0.21,0.16,0.77,0.02,1.16
1773,Derby Stallion III,SNES,Sports,ASCII Entertainment,0,0,1.15,0,1.15
1842,Arc the Lad,PS,Role-Playing,Sony Computer Entertainment,0,0,1.1,0.01,1.11
1936,Ridge Racer Revolution,PS,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07
2048,NBA Jam Tournament Edition,SNES,Sports,Acclaim Entertainment,0.87,0.12,0,0.02,1.01
2070,Road & Track Presents: The Need for Speed,PS,Racing,Electronic Arts,0.56,0.38,0,0.07,1
2304,Destruction Derby,PS,Racing,Psygnosis,0.5,0.34,0,0.06,0.9
2355,Seiken Densetsu 3,SNES,Role-Playing,SquareSoft,0,0,0.89,0,0.89
2378,Gex,PS,Platform,Crystal Dynamics,0.49,0.33,0,0.06,0.87
2448,NFL GameDay,PS,Sports,Sony Computer Entertainment,0.47,0.32,0,0.06,0.85
2696,Street Fighter Alpha: Warriors' Dreams,PS,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
2889,Tactics Ogre: Let Us Cling Together,SNES,Role-Playing,Quest,0,0,0.71,0,0.71
2892,Battle Arena Toshinden 2,PS,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71
3239,Virtua Cop,SAT,Shooter,Sega,0,0,0.62,0,0.62
3273,Mario's Picross,GB,Puzzle,Nintendo,0,0,0.62,0,0.62
3354,Suikoden,PS,Role-Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6
3374,Front Mission,SNES,Strategy,SquareSoft,0,0,0.6,0,0.6
3445,Tokimeki Memorial: Forever with You,PS,Simulation,Konami Digital Entertainment,0,0,0.55,0.04,0.58
3522,Beyond The Beyond,PS,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57
3680,Mortal Kombat 3,PS,Fighting,Sony Computer Entertainment,0.29,0.2,0.02,0.04,0.55
3987,Bases Loaded '96: Double Header,PS,Sports,Jaleco,0.28,0.19,0,0.03,0.5
4076,SimCity 2000,SNES,Simulation,THQ,0,0,0.49,0,0.49
4162,Super Puyo Puyo 2,SNES,Puzzle,Compile,0,0,0.47,0,0.47
4167,WipEout,PS,Action,Psygnosis,0.26,0.18,0,0.03,0.47
4207,Super Momotarou Dentetsu DX,SNES,Misc,Hudson Soft,0,0,0.47,0,0.47
4305,Warhawk,PS,Simulation,Sony Computer Entertainment,0.25,0.17,0,0.03,0.46
4324,J-League Excite Stage '95,SNES,Sports,Epoch,0,0,0.45,0,0.45
4375,Persona,PS,Role-Playing,Atlus,0,0,0.42,0.03,0.45
4381,Mobile Suit Gundam,PS,Action,Namco Bandai Games,0,0,0.42,0.03,0.45
4636,Super Famista 4,SNES,Sports,Namco Bandai Games,0,0,0.42,0,0.42
4672,Cyber Troopers Virtual-On,SAT,Fighting,Sega,0,0,0.42,0,0.42
4701,Mobile Suit Gundam,SAT,Action,Namco Bandai Games,0,0,0.41,0,0.41
4767,Mario no Super Picross,SNES,Puzzle,Nintendo,0,0,0.41,0,0.41
4823,Fighting Vipers,SAT,Fighting,Sega,0,0,0.4,0,0.4
4857,Mystery Dungeon: Shiren the Wanderer,SNES,Role-Playing,ChunSoft,0,0,0.4,0,0.4
4876,Tales of Phantasia,SNES,Role-Playing,Namco Bandai Games,0,0,0.4,0,0.4
5011,Shin Megami Tensei: Devil Summoner,SAT,Role-Playing,Atlus,0,0,0.38,0,0.38
5050,Dai-4-Ji Super Robot Taisen,SNES,Strategy,Banpresto,0,0,0.38,0,0.38
5118,Panzer Dragoon,SAT,Shooter,Sega,0,0,0.37,0,0.37
5247,Boxer's Road,PS,Fighting,New,0,0,0.33,0.02,0.36
5291,Mega Man X3,SNES,Action,Laguna,0.04,0.01,0.3,0,0.35
5374,Iron Storm,SAT,Shooter,Sega,0,0,0.34,0,0.34
5395,Night Warriors: Darkstalkers' Revenge,SAT,Fighting,Virgin Interactive,0,0,0.34,0,0.34
5571,Shin Nippon Pro Wrestling: Toukon Retsuden,PS,Fighting,Tomy Corporation,0,0,0.3,0.02,0.33
5634,Kirby's Block Ball,GB,Puzzle,Nintendo,0,0,0.32,0,0.32
5642,Extreme Pinball,PS,Misc,Electronic Arts,0.18,0.12,0,0.02,0.32
5647,Street Fighter Alpha 2,SAT,Fighting,Virgin Interactive,0,0,0.32,0,0.32
5709,NBA ShootOut,PS,Sports,Sony Computer Entertainment,0.17,0.12,0,0.02,0.31
5716,Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,Platform,Konami Digital Entertainment,0,0,0.31,0,0.31
5747,Panzer Dragoon II Zwei,SAT,Shooter,Sega,0,0,0.31,0,0.31
5830,Gameboy Gallery,GB,Misc,Nintendo,0,0,0.3,0,0.3
5844,Jumping Flash!,PS,Platform,Sony Computer Entertainment,0.05,0.03,0.21,0.02,0.3
5856,Blazing Heroes,SAT,Role-Playing,Sega,0,0,0.3,0,0.3
5910,Winning Post 2,SNES,Sports,Tecmo Koei,0,0,0.3,0,0.3
5922,Far East of Eden Zero,SNES,Role-Playing,Hudson Soft,0,0,0.3,0,0.3
5974,Guardian Heroes,SAT,Role-Playing,Sega,0,0,0.29,0,0.29
6117,Super Fire ProWrestling X,SNES,Fighting,Human Entertainment,0,0,0.28,0,0.28
6141,The King of Fighters '95,SAT,Fighting,SNK Playmore,0,0,0.28,0,0.28
6194,Mega Man 7,SNES,Platform,Laguna,0.03,0.01,0.23,0.01,0.28
6198,NBA In The Zone,PS,Sports,Konami Digital Entertainment,0.16,0.11,0,0.02,0.28
6262,Nichibutsu Arcade Classics,SNES,Misc,Nichibutsu,0,0,0.28,0,0.28
6365,Jikkyou Powerful Pro Yakyuu 2,SNES,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
6401,Final Doom,PS,Shooter,GT Interactive,0.15,0.1,0,0.02,0.27
6415,Super Nazo Puyo: Ruruu no Ruu,SNES,Puzzle,Banpresto,0,0,0.27,0,0.27
6716,NBA Jam Tournament Edition,PS,Sports,Acclaim Entertainment,0.14,0.09,0,0.02,0.25
6786,Panzer General,PS,Strategy,Mindscape,0.14,0.09,0,0.02,0.24
6805,Namco Tennis Smash Court,PS,Sports,Sony Computer Entertainment,0,0,0.23,0.02,0.24
6924,PGA Tour 96,PS,Sports,Electronic Arts,0.13,0.09,0,0.02,0.24
7023,Virtua Fighter Kids,SAT,Fighting,Sega,0,0,0.23,0,0.23
7104,The Raiden Project,PS,Shooter,Ocean,0.06,0.04,0.12,0.01,0.23
7296,Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,Sports,Sega,0,0,0.22,0,0.22
7387,Dragon Ball Z Hyper Dimension,SNES,Fighting,Namco Bandai Games,0,0,0.21,0,0.21
7466,X-Men: Children of the Atom,SAT,Fighting,Acclaim Entertainment,0,0,0.21,0,0.21
7500,The King of Fighters '95,NG,Fighting,SNK,0,0,0.2,0,0.2
7514,SD Gundam GNext,SNES,Strategy,Namco Bandai Games,0,0,0.2,0,0.2
7683,Bust-A-Move 2 Arcade Edition,PS,Puzzle,Acclaim Entertainment,0.11,0.07,0,0.01,0.2
7839,GunGriffon,SAT,Simulation,Sega,0,0,0.19,0,0.19
7922,College Slam,PS,Sports,Acclaim Entertainment,0.1,0.07,0,0.01,0.19
7954,Super Real Mahjong P V,SAT,Misc,Seta Corporation,0,0,0.19,0,0.19
8237,Street Fighter: The Movie,PS,Fighting,Acclaim Entertainment,0.1,0.07,0,0.01,0.17
8354,Space Griffon VF-9,PS,Role-Playing,Panther Software,0.02,0.02,0.12,0.01,0.17
8394,Off-World Interceptor Extreme,PS,Racing,Crystal Dynamics,0.09,0.06,0,0.01,0.17
8462,Parodius,SAT,Shooter,Konami Digital Entertainment,0,0,0.16,0,0.17
8516,King's Field,PS,Role-Playing,Sony Computer Entertainment,0.09,0.06,0,0.01,0.16
8566,International Superstar Soccer Deluxe,SNES,Sports,Konami Digital Entertainment,0,0,0.16,0,0.16
8627,FIFA Soccer 96,PS,Sports,Electronic Arts,0.09,0.06,0,0.01,0.16
8669,StarBlade α,PS,Shooter,Sony Computer Entertainment,0,0,0.15,0.01,0.16
8854,J-League Victory Goal,SAT,Sports,Sega,0,0,0.15,0,0.15
8877,Tetris Attack,SNES,Puzzle,Nintendo,0,0,0.15,0,0.15
8982,Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,Fighting,Namco Bandai Games,0,0,0.15,0,0.15
8989,Wizardry VII: Gadeia no Houshu,PS,Role-Playing,Sony Computer Entertainment,0,0,0.14,0.01,0.15
9164,Epidemic,PS,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14
9209,Agile Warrior F-111X,PS,Simulation,Virgin Interactive,0.08,0.05,0,0.01,0.14
9225,Doukyuusei,TG16,Adventure,NEC,0,0,0.14,0,0.14
9243,Cyber Sled,PS,Action,Sony Computer Entertainment,0,0,0.13,0.01,0.14
9258,In the Hunt,PS,Shooter,THQ,0.03,0.02,0.07,0.01,0.14
9259,Daytona USA Championship Circuit Edition,SAT,Racing,Sega,0,0,0.14,0,0.14
9367,Sentou Kokka Air Land Battle,PS,Strategy,Sony Computer Entertainment,0,0,0.13,0.01,0.13
9462,Romance of the Three Kingdoms IV: Wall of Fire,PS,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
9470,Disruptor,PS,Shooter,Interplay,0.07,0.05,0,0.01,0.13
9538,Namco Soccer Prime Goal,PS,Sports,Sony Computer Entertainment,0,0,0.12,0.01,0.13
9548,Mystic Ark,SNES,Role-Playing,Enix Corporation,0,0,0.13,0,0.13
