Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
13151,Harukanaru Toki no Naka de 3,PS2,2004,Tecmo Koei,0,0,0.05,0,0.05
13160,Durarara!! 3-way Standoff,PSP,2010,ASCII Media Works,0,0,0.05,0,0.05
13163,Tokimeki Memorial Girl's Side 2nd Kiss,PS2,2006,Konami Digital Entertainment,0,0,0.05,0,0.05
13184,"Lupin III: Lupin ni wa Shi o, Zenigata ni wa Koi o",PS2,2007,505 Games,0,0,0.05,0,0.05
13204,White Album: Tsuzurareru Fuyu no Omoide,PS3,2010,Aqua Plus,0,0,0.05,0,0.05
13205,Harukanaru Toki no Naka de: Yumenoukihashi,DS,2008,Tecmo Koei,0,0,0.05,0,0.05
13216,D.Gray-man: Kami no Shitotachi,DS,2007,Konami Digital Entertainment,0,0,0.05,0,0.05
13232,Koihime Musou,PS2,2008,Yeti,0,0,0.05,0,0.05
13237,Kekkon Zenya,SAT,1995,Shogakukan,0,0,0.05,0,0.05
13247,Tokimeki Memorial: Girls Side 1st Love,DS,2007,Konami Digital Entertainment,0,0,0.05,0,0.05
