Rank,Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
252,Zelda II: The Adventure of Link,NES,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
466,Mike Tyson's Punch-Out!!,NES,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
603,Dragon Warrior II,NES,Role-Playing,Enix Corporation,0.15,0,2.41,0,2.56
648,Pro Wrestling,NES,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
761,Volleyball,NES,Sports,Nintendo,0.14,0.03,1.98,0,2.15
1363,Pro Yakyuu Family Stadium '87,NES,Sports,Namco Bandai Games,0.12,0,1.3,0,1.42
1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
2236,Castlevania II: Simon's Quest,NES,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0,0.93
2468,Final Fantasy,NES,Role-Playing,SquareSoft,0.32,0,0.52,0,0.84
2549,Mega Man,NES,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
3120,Kung-Fu Master,2600,Action,Activision,0.6,0.04,0,0.01,0.65
4196,Commando,2600,Action,Activision,0.44,0.02,0,0,0.47
4395,Defender II,2600,Shooter,Atari,0.42,0.02,0,0,0.45
6585,Desert Falcon,2600,Shooter,Atari,0.24,0.01,0,0,0.26
11718,Super Football,2600,Sports,Atari,0.07,0,0,0,0.08
11751,Super Baseball,2600,Sports,Atari,0.07,0,0,0,0.07
