Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16591,Mega Brain Boost,DS,2008,Puzzle,Majesco Entertainment,0.01,0,0,0,0.01
5200,NHL 2K10,Wii,2009,Sports,Take-Two Interactive,0.33,0.01,0,0.03,0.36
3637,The Godfather (old US sales),XB,2006,Action,Electronic Arts,0.42,0.11,0,0.02,0.55
4598,Harry Potter and the Deathly Hallows - Part 1,DS,2010,Action,Electronic Arts,0.2,0.19,0,0.04,0.42
12920,Nobunaga's Ambition: Sphere of Influence,PSV,2014,Strategy,Tecmo Koei,0,0,0.05,0,0.05
4711,X-Men: The Official Game,PS2,2006,Action,Activision,0.2,0.16,0,0.05,0.41
14655,Rugby League Live,X360,2010,Sports,Home Entertainment Suppliers,0,0.02,0,0,0.03
6604,Formula One 2001,PS2,2001,Racing,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26
3036,BioShock Infinite,PC,2013,Shooter,Take-Two Interactive,0.28,0.3,0,0.08,0.67
10564,Surf's Up,X360,2007,Sports,Ubisoft,0.09,0,0,0.01,0.1
7903,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01,0.19
12560,Carol Vorderman's Sudoku,PSP,2006,Puzzle,Xplosiv,0.05,0,0,0.01,0.06
14852,Legacy of Ys: Books I & II,DS,N/A,Role-Playing,Unknown,0.02,0,0,0,0.03
3136,Harry Potter and the Half-Blood Prince,PS2,2009,Action,Electronic Arts,0.13,0.07,0,0.44,0.64
4087,Shrek the Third,PS2,2007,Action,Activision,0.4,0.02,0,0.07,0.48
15144,Invizimals: The Lost Kingdom,PS3,2013,Action,Sony Computer Entertainment,0,0.02,0,0.01,0.02
7015,ESPN NHL Hockey,PS2,2003,Sports,Sega,0.11,0.09,0,0.03,0.23
9754,Puzzle Kingdoms,Wii,2009,Puzzle,Zoo Digital Publishing,0.11,0,0,0.01,0.12
14817,Madden NFL 07,GBA,2006,Sports,Electronic Arts,0.02,0.01,0,0,0.03
4973,Ice Age: Dawn of the Dinosaurs,DS,2009,Action,Activision,0.2,0.15,0,0.04,0.39
3643,Jump Super Stars,DS,2005,Fighting,Nintendo,0,0,0.55,0,0.55
9712,Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,0.12,0,0,0.01,0.12
2976,Bakugan: Battle Brawlers,Wii,2009,Action,Activision,0.6,0.03,0,0.05,0.68
10051,World Championship Rugby,PS2,2004,Sports,Acclaim Entertainment,0.06,0.04,0,0.01,0.11
9694,WRC: FIA World Rally Championship,X360,N/A,Racing,Black Bean Games,0,0.1,0,0.02,0.12
12120,N+,DS,2007,Platform,Atari,0.06,0,0,0,0.07
