Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6270,Tao Feng: Fist of the Lotus,XB,2003,Fighting,Microsoft Game Studios,0.21,0.06,0,0.01,0.27
12901,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,0.05,0,0,0.05
8386,Final Fantasy V,PS,1998,Role-Playing,SquareSoft,0,0,0.16,0.01,0.17
16123,Ninja Gaiden Sigma 2,PSV,2013,Action,Tecmo Koei,0,0,0.01,0,0.01
15414,Backyard Baseball '09,PS2,2008,Sports,Atari,0.01,0.01,0,0,0.02
12757,The Mysterious Case of Dr. Jekyll and Mr. Hyde,DS,2010,Adventure,O-Games,0.02,0.03,0,0.01,0.06
2356,Mega Man 8 Anniversary Collector's Edition,PS,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88
7606,The Legend of Heroes VII: The Trail of Blue,PSP,2011,Role-Playing,Falcom Corporation,0,0,0.2,0,0.2
6391,Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.27
6717,Far Cry Instincts Predator,X360,2006,Shooter,Ubisoft,0.2,0.03,0,0.02,0.25
14029,Ailu de Puzzle,PSP,2012,Action,Capcom,0,0,0.04,0,0.04
4365,Fatal Fury 2,SNES,1993,Fighting,Takara,0,0,0.45,0,0.45
10872,Wordmaster,DS,2008,Strategy,Zoo Digital Publishing,0.09,0,0,0.01,0.09
10838,Angry Birds: Rio,PC,2011,Puzzle,Focus Home Interactive,0,0.07,0,0.02,0.09
11706,Madden NFL 17,PS3,2016,Sports,Electronic Arts,0.05,0.01,0,0.01,0.08
5570,Bleach: Shattered Blade,Wii,2006,Fighting,Sega,0.22,0.01,0.08,0.02,0.33
15352,Oil Rush,PC,2012,Strategy,Iceberg Interactive,0,0.02,0,0,0.02
4764,Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive,0.18,0.17,0,0.06,0.41
14491,Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,PSP,2010,Role-Playing,Gust,0,0,0.03,0,0.03
2609,Tiger Woods PGA Tour 10,PS3,2009,Sports,Electronic Arts,0.42,0.25,0,0.12,0.79
10739,Thor: God of Thunder,3DS,2011,Action,Sega,0.06,0.03,0,0.01,0.1
478,Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.33,1.12,0.08,0.45,2.97
4645,Mega Man X6,PS,2001,Action,Capcom,0.14,0.1,0.16,0.03,0.42
11660,Stuart Little 3: Big Photo Adventure,PS2,2005,Platform,Sony Computer Entertainment,0.04,0.03,0,0.01,0.08
6624,Surfing H3O,PS2,2000,Sports,Take-Two Interactive,0.12,0.1,0,0.03,0.25
15050,Strike Witches: Shirogane no Tsubasa,PSP,2012,Strategy,Kadokawa Shoten,0,0,0.02,0,0.02
11201,LEGO Star Wars II: The Original Trilogy,GBA,2006,Action,LucasArts,0.06,0.02,0,0,0.09
11850,Disney's Planes,3DS,2013,Simulation,Disney Interactive Studios,0.04,0.03,0,0.01,0.07
4537,Castlevania: Portrait of Ruin,DS,2006,Platform,Konami Digital Entertainment,0.33,0.03,0.04,0.03,0.43
6971,Super Robot Taisen D,GBA,2003,Strategy,Banpresto,0,0,0.23,0.01,0.23
5425,Pony Friends 2,DS,2009,Simulation,Eidos Interactive,0.21,0.1,0,0.03,0.34
9663,Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0.01,0,0.01,0.12
3633,Dragon Age: Inquisition,X360,2014,Role-Playing,Electronic Arts,0.35,0.16,0,0.05,0.55
15815,Tsuyo Kiss 2 Gakki: Swift Love,PS2,2009,Adventure,Revolution (Japan),0,0,0.02,0,0.02
11685,Open Season,PSP,2006,Platform,Ubisoft,0.07,0,0,0.01,0.08
12234,Chocolatier,DS,2010,Misc,Zoo Games,0.06,0,0,0,0.07
8933,Kung-Fu: High Impact,X360,2011,Action,Black Bean Games,0.08,0.06,0,0.01,0.15
8126,F1 Challenge,SAT,1994,Racing,Sega,0,0,0.18,0,0.18
3697,Medarot 2: Kabuto / Kuwagata Version,GB,1999,Role-Playing,Imagineer,0,0,0.54,0,0.54
4787,Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega,0.17,0.2,0,0.04,0.4
8161,Charlie and the Chocolate Factory,GC,2005,Adventure,Global Star,0.14,0.04,0,0,0.18
2484,Dynasty Warriors 2,PS2,2000,Action,THQ,0.24,0.19,0.34,0.06,0.83
9927,The Walking Dead: Survival Instinct,WiiU,2013,Shooter,Activision,0.08,0.03,0,0.01,0.12
14707,The Last Guy,PS3,2009,Action,Sony Computer Entertainment,0,0,0.03,0,0.03
10853,Monopoly Collection,Wii,2011,Misc,Electronic Arts,0.02,0.07,0,0.01,0.09
349,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,0,0.64,2.93,3.63
9729,Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0,0.05,0.06,0.01,0.12
15889,Koihime Enbu,PS4,2016,Fighting,Yeti,0,0,0.02,0,0.02
6227,Indiana Jones and the Staff of Kings,PS2,2009,Action,Activision,0.11,0.01,0,0.16,0.28
7691,Barbie Horse Adventures: Riding Camp,Wii,2008,Sports,Activision,0.18,0,0,0.01,0.2
15787,Gummy Bears Magical Medallion,Wii,2011,Platform,Storm City Games,0.02,0,0,0,0.02
13935,Zoo Hospital,DS,2007,Simulation,Eidos Interactive,0.03,0,0,0,0.04
7631,Code of Princess,3DS,2012,Action,Agatsuma Entertainment,0.16,0,0.03,0.01,0.2
5199,Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment,0.29,0.05,0,0.03,0.36
1272,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,1,0.36,0,0.13,1.49
5799,Music Maker,PS2,2001,Misc,Magix,0.15,0.12,0,0.04,0.31
15145,428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike,0,0,0.02,0,0.02
7774,Manhunt,XB,2004,Action,Take-Two Interactive,0.14,0.04,0,0.01,0.19
9123,Cabela's Outdoor Adventures (2009),PS2,2009,Sports,Activision Value,0.07,0.05,0,0.02,0.14
13784,Akko ni Omakase! Brain Shock,DS,2006,Misc,Taito,0,0,0.04,0,0.04
11227,Monster Jam: Urban Assault,PSP,2008,Racing,Activision,0.08,0,0,0.01,0.09
13102,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.03,0,0.01,0.05
14070,Crazy Machines,DS,2008,Puzzle,DTP Entertainment,0,0.03,0,0,0.04
3947,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,DS,2009,Adventure,GSP,0.12,0.33,0,0.06,0.51
12283,Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Action,Capcom,0.05,0.02,0,0,0.06
11155,Harvey Birdman: Attorney at Law,Wii,2008,Adventure,Capcom,0.08,0,0,0.01,0.09
12132,Deep Labyrinth,DS,2006,Action,505 Games,0.06,0,0,0,0.07
12019,Cut the Rope,3DS,2014,Puzzle,Activision,0.06,0,0,0.01,0.07
7819,Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.17,0.01,0,0.01,0.19
1399,WWE '13,PS3,2012,Action,THQ,0.51,0.62,0,0.26,1.39
11928,Famicom Mini: Nazo no Murasame-Jou,GBA,2004,Action,Nintendo,0,0,0.07,0,0.07
1180,Pokemon Mystery Dungeon: Explorers of Sky,DS,2009,Role-Playing,Nintendo,0.58,0.44,0.44,0.12,1.58
11020,Obscure: The Aftermath,PSP,2009,Action,Playlogic Game Factory,0.05,0.03,0,0.02,0.09
6964,Mobile Suit Gundam: Climax U.C.,PS2,2006,Action,Namco Bandai Games,0,0,0.23,0,0.23
12263,Disney's Chicken Little: Ace In Action,DS,2006,Shooter,Disney Interactive Studios,0.06,0,0,0,0.06
6345,Jikkyou Powerful Pro Yakyuu 5,N64,1998,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
2787,Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0,0.03,0.74
13173,SD Gundam: Over Galaxian,PS,1996,Shooter,Namco Bandai Games,0,0,0.05,0,0.05
988,UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.07,0.45,0.01,0.24,1.77
5925,Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft,0.12,0.13,0,0.05,0.3
13182,Woody Woodpecker: Escape from Buzz Buzzard Park,PS2,2001,Platform,DreamCatcher Interactive,0.02,0.02,0,0.01,0.05
11919,F.E.A.R. 2: Project Origin,PC,2009,Shooter,Warner Bros. Interactive Entertainment,0.01,0.05,0,0.01,0.07
13406,The Misadventures of Tron Bonne,PS,1999,Adventure,Eidos Interactive,0.03,0.02,0,0,0.05
2222,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0,0.06,0.93
10425,Contact,DS,2006,Role-Playing,Rising Star Games,0.07,0,0.03,0.01,0.1
4347,Thrillville: Off the Rails,Wii,2007,Strategy,LucasArts,0.39,0.02,0,0.03,0.45
7042,Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,0.13,0.08,0,0.02,0.23
5665,NBA 2K3,XB,2002,Sports,Sega,0.24,0.07,0,0.01,0.32
1082,MySims,Wii,2007,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68
10957,Get Fit with Mel B,Wii,2010,Sports,Black Bean Games,0.03,0.05,0,0.01,0.09
14355,LEGO Legends of Chima: Laval's Journey,DS,2013,Adventure,Unknown,0,0.03,0,0,0.03
5710,Fishing Master,Wii,2007,Misc,Konami Digital Entertainment,0.29,0,0,0.02,0.31
12780,NBA Live 07,XB,2006,Sports,Electronic Arts,0.04,0.01,0,0,0.06
8746,FIFA Street 2,PSP,2006,Sports,Electronic Arts,0.07,0.06,0,0.03,0.15
3721,Kidou Senshi Gundam: Extreme VS,PS3,2011,Fighting,Namco Bandai Games,0,0,0.54,0,0.54
10244,AKB48+Me,3DS,2012,Action,Unknown,0,0,0.11,0,0.11
12863,Virtual Villagers: A New Home,DS,2010,Simulation,PQube,0.04,0.01,0,0,0.05
2827,Rabbids Go Home,DS,2009,Platform,Ubisoft,0.35,0.3,0,0.07,0.72
7509,You Don't Know Jack,X360,2011,Misc,THQ,0.19,0,0,0.01,0.2
15174,Kung Fu Panda: Showdown of Legendary Legends,PS3,2015,Action,Little Orbit,0,0.02,0,0,0.02
9179,Eragon,X360,2006,Action,Vivendi Games,0.12,0.01,0,0.01,0.14
10467,Happy Feet Two,PS3,N/A,Action,Warner Bros. Interactive Entertainment,0.09,0.01,0,0.01,0.1
9916,Backyard Wrestling 2: There Goes the Neighborhood,XB,2004,Fighting,Eidos Interactive,0.09,0.03,0,0,0.12
11807,CSI: Dark Motives,DS,2007,Adventure,Ubisoft,0.05,0.01,0,0.01,0.07
5260,Football Manager Handheld 2010,PSP,2009,Sports,Sega,0,0.26,0,0.09,0.36
9831,Skate City Heroes,Wii,2008,Sports,Zoo Digital Publishing,0.11,0,0,0.01,0.12
2130,Madden NFL 08,PS3,2007,Sports,Electronic Arts,0.89,0.01,0,0.08,0.97
