Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6295,Hatsune Miku: Project Diva f,PS3,2013,Misc,Sega,0.08,0,0.19,0.01,0.27
11334,SaGa 3: Jikuu no Hasha - Shadow or Light,DS,2011,Role-Playing,Square Enix,0,0,0.08,0,0.08
7932,F1 2011,PC,2011,Racing,Codemasters,0,0.15,0,0.04,0.19
4962,Super Famista 3,SNES,1994,Sports,Namco Bandai Games,0,0,0.39,0,0.39
4706,Farming Simulator 2015,X360,2015,Simulation,Koch Media,0.21,0.16,0,0.04,0.41
1346,NCAA Football 2003,PS2,2002,Sports,Electronic Arts,1.16,0.08,0,0.19,1.44
13405,City Life: World Edition,PC,2007,Simulation,Monte Christo Multimedia,0,0.04,0,0.01,0.05
12761,Roogoo Twisted Towers,Wii,2009,Puzzle,SouthPeak Games,0.05,0,0,0,0.06
924,Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12,1.87
15360,Saki: Achiga-Hen Portable,PSP,2013,Adventure,Alchemist,0,0,0.02,0,0.02
15026,Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,0,0.02,0,0,0.02
13882,Glacier2,Wii,2009,Racing,Zoo Games,0.04,0,0,0,0.04
776,Project Gotham Racing,XB,2001,Racing,Microsoft Game Studios,1.37,0.61,0.05,0.09,2.12
7810,Avatar: The Last Airbender - Into the Inferno,Wii,2008,Adventure,THQ,0.17,0.01,0,0.01,0.19
1546,Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0,0.04,1.28
5584,Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,0.13,0.16,0,0.04,0.32
483,Hitman 2: Silent Assassin,PS2,2002,Action,Eidos Interactive,1.36,1.15,0.04,0.41,2.96
2461,Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06,0.84
15378,Chuugen no Hasha: Sangoku Shouseiden,PSP,2006,Strategy,Namco Bandai Games,0,0,0.02,0,0.02
1077,LEGO Batman 2: DC Super Heroes,X360,2012,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0,0.15,1.68
10558,Pro Evolution Soccer 2016,XOne,2015,Sports,Konami Digital Entertainment,0.03,0.06,0,0.01,0.1
16317,Really? Really! DS,DS,2009,Adventure,Kadokawa Shoten,0,0,0.01,0,0.01
11930,Mahjong Fight Club DS: Wi-Fi Taiou,DS,2006,Misc,Konami Digital Entertainment,0,0,0.07,0,0.07
4214,World Series of Poker,PS2,2005,Misc,Activision,0.39,0.01,0,0.06,0.47
871,Kirby Squeak Squad,DS,2006,Platform,Nintendo,0.79,0.03,1.05,0.08,1.96
14948,Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,GOA,0,0.02,0,0,0.02
11767,Generator Rex: Agent of Providence,PS3,2011,Action,Activision,0.05,0.01,0,0.01,0.07
6994,Test Drive: Eve of Destruction,PS2,2004,Racing,Atari,0.11,0.09,0,0.03,0.23
9315,Pro Evolution Soccer 2015,XOne,2014,Sports,Konami Digital Entertainment,0.02,0.1,0,0.01,0.14
7596,Treasure World,DS,2009,Simulation,Aspyr,0.19,0,0,0.01,0.2
10925,Brain Age: Concentration Training,3DS,2012,Puzzle,Nintendo,0.09,0,0,0.01,0.09
4005,Dynasty Warriors: Gundam 2,PS3,2008,Action,Namco Bandai Games,0.09,0.07,0.32,0.03,0.5
6901,Hello Kitty Seasons,Wii,2010,Adventure,Namco Bandai Games,0.16,0.06,0,0.02,0.24
7241,Nickelodeon Party Blast,XB,2002,Misc,Infogrames,0.16,0.05,0,0.01,0.22
7928,SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0,0.01,0.19
11005,DaGeDar,DS,2011,Action,GameMill Entertainment,0.09,0,0,0.01,0.09
10604,Lord of Apocalypse,PSV,2011,Role-Playing,Square Enix,0,0,0.1,0,0.1
1119,Ghosts 'n Goblins,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
4385,Final Fantasy Collection,PS,1999,Role-Playing,Square,0,0,0.42,0.03,0.45
11451,Kaidan Restaurant: Ura Menu 100-Sen,DS,2010,Misc,Namco Bandai Games,0,0,0.08,0,0.08
5456,Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom,0.27,0.01,0.02,0.03,0.33
13268,Colin McRae Rally 2005,XB,2004,Racing,Codemasters,0.04,0.01,0,0,0.05
11167,Bomberman Land Touch!,DS,2006,Puzzle,Rising Star Games,0.04,0,0.04,0,0.09
10871,Field & Stream: Total Outdoorsman Challenge,X360,2010,Sports,505 Games,0.09,0,0,0.01,0.09
2824,Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.72
8029,Evolve,PC,2015,Shooter,Take-Two Interactive,0.07,0.1,0,0.01,0.18
6075,BlazBlue: Chrono Phantasma,PS3,2013,Fighting,Arc System Works,0.13,0,0.14,0.02,0.29
6062,Dynasty Tactics,PS2,2002,Strategy,Tecmo Koei,0.06,0.05,0.16,0.02,0.29
15829,Exhibition Volume 6,XB,2004,Misc,Microsoft Game Studios,0.01,0,0,0,0.02
8549,Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011,Strategy,Konami Digital Entertainment,0,0,0.16,0,0.16
12160,Heroes Phantasia,PSP,2012,Role-Playing,Namco Bandai Games,0,0,0.07,0,0.07
7958,The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.13,0.05,0,0,0.19
10621,Vanishing Point,PS,2001,Racing,Acclaim Entertainment,0.06,0.04,0,0.01,0.1
463,Rayman,PS,1995,Platform,Ubisoft,1.54,1.33,0,0.16,3.03
1151,Moshi Monsters: Moshling Zoo,DS,2011,Misc,Activision,0.4,0.99,0,0.22,1.6
14154,Trap Gunner: Countdown to Oblivion,PS,1998,Strategy,Konami Digital Entertainment,0.02,0.01,0,0,0.03
1586,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25
