Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4994,SD Gundam G Generation Spirits,PS2,2007,Namco Bandai Games,0,0,0.38,0,0.38
5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Namco Bandai Games,0,0,0.38,0,0.38
5020,SD Gundam G Generation-F,PS,2000,Namco Bandai Games,0,0,0.36,0.02,0.38
5029,Risk: Global Domination,PS2,2003,Atari,0.19,0.15,0,0.05,0.38
5050,Dai-4-Ji Super Robot Taisen,SNES,1995,Banpresto,0,0,0.38,0,0.38
5132,Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Electronic Arts,0.14,0.17,0,0.06,0.37
5134,Medieval II: Total War Gold Edition,PC,2008,Sega,0,0.33,0,0.03,0.37
5144,Super Robot Taisen EX,SNES,1994,Banpresto,0,0,0.37,0,0.37
5152,Sid Meier's Civilization: Beyond Earth,PC,2014,Take-Two Interactive,0.11,0.22,0,0.03,0.37
5156,Mini-Yonku GB: Let's & Go!!,GB,1997,ASCII Entertainment,0,0,0.37,0,0.37
