Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
802,Tetris Worlds,PS2,THQ,1.11,0.71,0,0.27,2.08
1241,Super Monkey Ball 2,GC,Atari,1.11,0.31,0.06,0.04,1.52
2849,Super Monkey Ball Jr.,GBA,Atari,0.51,0.19,0,0.01,0.72
7223,Tetris Worlds,GC,THQ,0.17,0.04,0,0.01,0.22
10672,Sneakers,XB,Microsoft Game Studios,0.07,0.02,0,0,0.1
10965,Bomberman Max 2: Blue Advance,GBA,Vivendi Games,0.07,0.02,0,0,0.09
11320,Bomberman Jetters,GC,Hudson Soft,0.06,0.02,0,0,0.08
11804,Bomberman Max 2: Red Advance,GBA,Vivendi Games,0.05,0.02,0,0,0.07
12309,Kururin Paradise,GBA,Unknown,0,0,0.06,0,0.06
12436,Bubble Bobble: Old & New,GBA,Empire Interactive,0.04,0.02,0,0,0.06
12518,Worms Blast,GC,Ubisoft,0.05,0.01,0,0,0.06
12843,Bombastic,PS2,Capcom,0.03,0.02,0,0.01,0.05
12907,Bust-A-Bloc,PS2,Midas Interactive Entertainment,0,0,0.05,0,0.05
13139,Turbo Turtle Adventure,GBA,Majesco Entertainment,0.04,0.01,0,0,0.05
13212,ZooCube,GBA,Acclaim Entertainment,0.03,0.01,0,0,0.05
14401,Egg Mania: Eggstreme Madness,PS2,Kemco,0.02,0.01,0,0,0.03
14920,ZooCube,GC,Acclaim Entertainment,0.02,0,0,0,0.02
16082,Egg Mania: Eggstreme Madness,XB,Kemco,0.01,0,0,0,0.01
16379,Super Bubble Pop,XB,Jaleco,0.01,0,0,0,0.01
16467,Egg Mania: Eggstreme Madness,GC,Kemco,0.01,0,0,0,0.01
