Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
180,Madden NFL 2004,PS2,Electronic Arts,4.26,0.26,0.01,0.71,5.23
378,FIFA Soccer 2004,PS2,Electronic Arts,0.59,2.36,0.04,0.51,3.49
1305,Triple Play 99,PS,N/A,0.81,0.55,0,0.1,1.46
2486,Madden NFL 07,PSP,Unknown,0.77,0.03,0,0.04,0.83
2499,MLB SlugFest 20-03,PS2,Unknown,0.41,0.32,0,0.11,0.83
2530,Shaun White Snowboarding,X360,Ubisoft,0.48,0.26,0,0.08,0.82
2588,PES 2009: Pro Evolution Soccer,PSP,Konami Digital Entertainment,0.04,0.33,0.26,0.17,0.8
2778,Madden NFL 11,Wii,Unknown,0.7,0,0,0.05,0.74
3423,Madden NFL 06,X360,Electronic Arts,0.54,0,0.01,0.03,0.59
3503,Madden NFL 2002,XB,Unknown,0.53,0.02,0,0.03,0.58
3755,NBA Street Vol. 2,GC,Electronic Arts,0.41,0.11,0,0.01,0.54
3882,Fishing Derby,2600,Activision,0.48,0.03,0,0.01,0.51
4201,Tiger Woods PGA Tour 07,Wii,Electronic Arts,0.43,0,0,0.04,0.47
4538,NHL Slapshot,Wii,Unknown,0.4,0,0,0.02,0.43
4799,NFL GameDay 2003,PS2,Unknown,0.2,0.15,0,0.05,0.4
5164,NBA Live 2003,XB,Electronic Arts,0.31,0.04,0,0.01,0.36
5671,All-Star Baseball 2005,PS2,Unknown,0.16,0.12,0,0.04,0.32
5903,NBA Live 2003,GC,Electronic Arts,0.23,0.06,0,0.01,0.3
6498,Jonah Lomu Rugby Challenge,PS3,Home Entertainment Suppliers,0,0.2,0,0.06,0.26
6649,College Hoops 2K6,PS2,Unknown,0.12,0.1,0,0.03,0.25
6939,Tony Hawk's Downhill Jam,Wii,Activision,0.21,0,0,0.02,0.24
6968,Big Beach Sports 2,Wii,THQ,0.09,0.12,0,0.03,0.23
7183,Move Fitness,PS3,Sony Computer Entertainment,0,0.17,0,0.05,0.22
7617,Famista 64,N64,Namco Bandai Games,0,0,0.17,0.03,0.2
8088,Backbreaker,X360,Unknown,0.17,0,0,0.01,0.18
8206,NBA Starting Five,PS2,Unknown,0.09,0.07,0,0.02,0.18
8315,Backbreaker,PS3,Unknown,0.16,0,0,0.01,0.17
8762,Home Run,2600,Atari,0.14,0.01,0,0,0.15
8931,All-Star Baseball 2005,XB,Unknown,0.11,0.03,0,0.01,0.15
9394,Transworld Surf,XB,Atari,0.1,0.03,0,0,0.13
9817,Street Hoops,GC,Unknown,0.09,0.02,0,0,0.12
9870,Major League Baseball 2K6,PSP,Unknown,0.11,0,0,0.01,0.12
10496,Atsumare! Power Pro Kun no DS Koushien,DS,N/A,0,0,0.1,0,0.1
11333,Get Fit with Mel B,X360,Black Bean Games,0,0.07,0,0.01,0.08
12917,Mountain Bike Adrenaline,PS2,Unknown,0.03,0.02,0,0.01,0.05
13735,NHL Hitz Pro,GC,Unknown,0.03,0.01,0,0,0.04
14100,Major League Baseball 2K8,PSP,Unknown,0.03,0,0,0,0.03
15264,Mario Tennis,3DS,N/A,0,0,0.02,0,0.02
15582,Cabela's Alaskan Adventure,PS2,Unknown,0.01,0.01,0,0,0.02
15742,Football Manager 2007,X360,Sega,0,0.01,0,0,0.02
15868,PDC World Championship Darts 2008,DS,Unknown,0.01,0,0,0,0.02
16060,PDC World Championship Darts 2008,PSP,Oxygen Interactive,0.01,0,0,0,0.01
