Rank,Name,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3239,Virtua Cop,SAT,Sega,0,0,0.62,0,0.62
5118,Panzer Dragoon,SAT,Sega,0,0,0.37,0,0.37
5374,Iron Storm,SAT,Sega,0,0,0.34,0,0.34
5747,Panzer Dragoon II Zwei,SAT,Sega,0,0,0.31,0,0.31
6401,Final Doom,PS,GT Interactive,0.15,0.1,0,0.02,0.27
7104,The Raiden Project,PS,Ocean,0.06,0.04,0.12,0.01,0.23
8462,Parodius,SAT,Konami Digital Entertainment,0,0,0.16,0,0.17
8669,StarBlade α,PS,Sony Computer Entertainment,0,0,0.15,0.01,0.16
9164,Epidemic,PS,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14
9258,In the Hunt,PS,THQ,0.03,0.02,0.07,0.01,0.14
9470,Disruptor,PS,Interplay,0.07,0.05,0,0.01,0.13
9642,Detana TwinBee Yahho! Deluxe Pack,SAT,Konami Digital Entertainment,0,0,0.13,0,0.13
10406,Project: Horned Owl,PS,Sony Computer Entertainment,0.03,0.02,0.05,0.01,0.11
10497,Revolution X,PS,Acclaim Entertainment,0.06,0.04,0,0.01,0.1
10590,Darius Gaiden,SAT,Acclaim Entertainment,0,0,0.1,0,0.1
10972,Rapid Reload,PS,Sony Computer Entertainment,0,0,0.09,0.01,0.09
11065,Detana TwinBee Yahho! Deluxe Pack,PS,Konami Digital Entertainment,0,0,0.08,0.01,0.09
11530,Tempest 3X,PS,Interplay,0.04,0.03,0,0.01,0.08
11876,Viewpoint,PS,Electronic Arts,0.04,0.03,0,0,0.07
12077,Space Hulk: Vengeance of the Blood Angels,PS,Electronic Arts,0.04,0.03,0,0,0.07
12127,DefCon 5,PS,Psygnosis,0.04,0.03,0,0,0.07
12357,Star Fighter,PS,Telstar,0.04,0.02,0,0,0.06
12794,Gunbird,SAT,Atlus,0,0,0.06,0,0.06
13090,Philosoma,PS,Sony Computer Entertainment,0.03,0.02,0,0,0.05
13220,Jikkyou Oshaberi Parodius,SNES,Konami Digital Entertainment,0,0,0.05,0,0.05
13333,Magic Carpet,PS,Electronic Arts,0.03,0.02,0,0,0.05
13706,Novastorm,PS,Psygnosis,0.02,0.02,0,0,0.04
14744,Darius II,SAT,Taito,0,0,0.03,0,0.03
15538,Ginga Fukei Densetsu: Sapphire,TG16,Hudson Soft,0,0,0.02,0,0.02
